timestamp,cpu_percent,memory_percent
1763779303.277464,8.8,27.4
1763779304.283239,8.6,27.4
1763779305.2935243,10.3,27.4
1763779306.298404,6.1,27.4
1763779307.303928,6.1,27.4
1763779308.3109946,6.7,27.4
1763779309.3174236,9.8,27.4
1763779310.3233771,8.9,27.4
1763779311.3328183,5.6,27.3
1763779312.3342726,8.9,27.3
1763779313.336497,5.8,27.3
1763779314.3379796,6.2,27.3
1763779315.340067,5.7,27.3
1763779316.3416214,5.6,27.3
1763779317.342322,6.8,27.3
1763779318.3428242,5.4,27.3
1763779319.346491,6.4,27.3
1763779320.3510976,6.4,27.3
1763779321.3514457,6.7,27.3
1763779322.3523755,8.3,27.3
1763779323.3615685,5.4,27.3
1763779324.3634286,6.1,27.3
1763779325.3637893,6.1,27.3
1763779326.3756192,6.5,27.3
1763779327.3767455,7.5,27.3
1763779328.3910496,5.3,27.3
1763779329.3919833,5.8,27.3
1763779330.40609,6.7,27.3
1763779331.4144611,8.0,27.2
1763779332.4151335,6.0,27.2
1763779333.4269826,5.5,27.2
1763779334.4323316,5.9,27.2
1763779335.432922,6.4,27.2
1763779336.443326,5.5,27.2
1763779337.4549513,5.8,27.2
1763779338.4568338,6.0,27.2
1763779339.4664714,5.4,27.2
1763779340.4677322,6.3,27.2
1763779341.477954,5.8,27.2
1763779342.4786549,5.1,27.2
1763779343.4794626,7.4,27.2
1763779344.4817939,7.1,27.2
1763779345.4873507,11.6,27.2
1763779346.4911308,7.4,27.2
1763779347.497223,6.3,27.2
1763779348.497872,5.6,27.2
1763779349.51169,6.0,27.2
1763779350.515989,6.4,27.2
1763779351.5303752,6.0,27.2
1763779352.5375063,6.6,27.2
1763779353.5400193,5.4,27.2
1763779354.5410998,5.6,27.2
1763779355.5427606,6.8,27.2
1763779356.548654,7.3,27.2
1763779357.560109,6.7,27.2
1763779358.567229,6.4,27.2
1763779359.567842,5.7,27.2
1763779360.5797865,6.1,27.2
1763779361.5845664,6.8,27.3
1763779362.5995772,5.5,27.3
1763779363.6090503,8.4,27.3
1763779364.612095,6.3,27.3
1763779365.6131978,5.2,27.3
1763779366.6209726,5.7,27.3
1763779367.6378531,5.8,27.3
1763779368.6387916,6.6,27.3
1763779369.6457474,7.4,27.3
1763779370.661375,5.3,27.3
1763779371.66251,5.4,27.3
1763779372.6708,5.6,27.3
1763779373.6811097,5.7,27.3
1763779374.6829717,6.7,27.3
1763779375.6891375,6.2,27.3
1763779376.6906295,6.7,27.3
1763779377.7013018,6.1,27.3
1763779378.7075715,6.0,27.2
1763779379.7082095,5.9,27.2
1763779380.7120826,7.2,27.2
1763779381.7195702,5.8,27.2
1763779382.7343955,5.4,27.2
1763779383.744001,5.2,27.2
1763779384.7641437,6.3,27.2
1763779385.778293,7.1,27.2
1763779386.7799954,6.7,27.2
1763779387.7844725,5.8,27.2
1763779388.794663,6.2,27.2
1763779389.7993162,6.1,27.2
1763779390.8108642,6.6,27.2
1763779391.827929,6.4,27.2
1763779392.8399477,7.7,27.2
1763779393.8539872,6.4,27.2
1763779394.862873,6.5,27.2
1763779395.8688915,5.3,27.2
