symbol,sharpe,total_return,max_dd,win_rate,num_trades
0992.HK,2.899,0.894,-0.101,0.55,20
3988.HK,0.983,0.06,-0.088,0.421,19
2319.HK,0.905,0.1,-0.125,0.391,23
2628.HK,0.586,0.065,-0.203,0.688,16
0175.HK,0.472,0.053,-0.202,0.619,21
0005.HK,0.331,0.031,-0.078,0.474,19
0981.HK,0.118,-0.009,-0.213,0.45,20
0868.HK,0.09,0.0,-0.117,0.438,16
0883.HK,0.047,-0.0,-0.147,0.429,21
0688.HK,-0.09,-0.014,-0.251,0.278,18
0857.HK,-0.177,-0.016,-0.102,0.476,21
0288.HK,-0.229,-0.026,-0.14,0.444,18
0291.HK,-0.245,-0.025,-0.075,0.522,23
1109.HK,-0.262,-0.028,-0.128,0.474,19
3690.HK,-0.297,-0.064,-0.161,0.333,18
0016.HK,-0.33,-0.038,-0.196,0.474,19
9618.HK,-0.35,-0.048,-0.135,0.4,25
9888.HK,-0.419,-0.063,-0.156,0.478,23
0939.HK,-0.518,-0.029,-0.119,0.429,21
0316.HK,-0.569,-0.051,-0.111,0.45,20
2269.HK,-0.569,-0.091,-0.199,0.45,20
0823.HK,-0.723,-0.036,-0.08,0.6,15
2388.HK,-0.753,-0.058,-0.138,0.545,22
0669.HK,-0.769,-0.082,-0.161,0.429,21
1398.HK,-0.785,-0.04,-0.115,0.6,20
2382.HK,-0.852,-0.111,-0.195,0.3,20
1088.HK,-0.914,-0.08,-0.107,0.318,22
1113.HK,-1.157,-0.091,-0.145,0.444,18
0066.HK,-1.194,-0.084,-0.179,0.316,19
1093.HK,-1.358,-0.229,-0.337,0.389,18
2020.HK,-1.361,-0.108,-0.125,0.333,12
1044.HK,-1.488,-0.084,-0.118,0.389,18
0322.HK,-1.607,-0.207,-0.286,0.45,20
0762.HK,-1.672,-0.122,-0.169,0.556,18
0941.HK,-1.713,-0.062,-0.062,0.444,18
1299.HK,-1.72,-0.195,-0.279,0.391,23
1177.HK,-1.862,-0.199,-0.247,0.381,21
0012.HK,-1.899,-0.156,-0.192,0.476,21
2899.HK,-2.054,-0.271,-0.378,0.375,24
1378.HK,-2.112,-0.28,-0.342,0.435,23
2318.HK,-2.198,-0.182,-0.221,0.318,22
0002.HK,-2.273,-0.094,-0.128,0.25,16
0836.HK,-2.308,-0.155,-0.155,0.35,20
0101.HK,-2.312,-0.22,-0.255,0.25,20
3968.HK,-2.357,-0.135,-0.149,0.25,12
0267.HK,-2.432,-0.19,-0.216,0.32,25
1928.HK,-2.44,-0.209,-0.21,0.294,17
9988.HK,-2.692,-0.29,-0.316,0.435,23
0388.HK,-2.791,-0.183,-0.223,0.211,19
1997.HK,-2.845,-0.21,-0.222,0.45,20
2313.HK,-3.177,-0.283,-0.324,0.421,19
0700.HK,-3.243,-0.308,-0.322,0.238,21
0386.HK,-3.311,-0.219,-0.267,0.263,19
1211.HK,-3.379,-0.34,-0.34,0.217,23
2015.HK,-3.618,-0.338,-0.338,0.286,21
1810.HK,-4.013,-0.313,-0.313,0.316,19
