symbol,sharpe,total_return,max_dd,win_rate,num_trades,bnh_sharpe,bnh_return,bnh_max_dd,alpha_sharpe,alpha_return
0992.HK,2.899,0.894,-0.101,0.55,20,3.485,1.394,-0.139,-0.5859999999999999,-0.4999999999999999
3988.HK,0.983,0.06,-0.088,0.421,19,2.314,0.183,-0.061,-1.331,-0.123
2319.HK,0.905,0.1,-0.125,0.391,23,0.852,0.106,-0.149,0.05300000000000005,-0.0059999999999999915
2628.HK,0.586,0.065,-0.203,0.688,16,0.038,-0.022,-0.314,0.5479999999999999,0.087
0175.HK,0.472,0.053,-0.202,0.619,21,0.367,0.036,-0.291,0.10499999999999998,0.017
0005.HK,0.331,0.031,-0.078,0.474,19,0.863,0.112,-0.19,-0.532,-0.081
0981.HK,0.118,-0.009,-0.213,0.45,20,0.128,-0.026,-0.361,-0.010000000000000009,0.017
0868.HK,0.09,0.0,-0.117,0.438,16,0.627,0.087,-0.207,-0.537,-0.087
0883.HK,0.047,-0.0,-0.147,0.429,21,0.931,0.129,-0.19,-0.884,-0.129
0688.HK,-0.09,-0.014,-0.251,0.278,18,1.671,0.248,-0.217,-1.7610000000000001,-0.262
0857.HK,-0.177,-0.016,-0.102,0.476,21,1.168,0.161,-0.181,-1.345,-0.177
0288.HK,-0.229,-0.026,-0.14,0.444,18,0.201,0.013,-0.195,-0.43000000000000005,-0.039
0291.HK,-0.245,-0.025,-0.075,0.522,23,-0.965,-0.12,-0.158,0.72,0.095
1109.HK,-0.262,-0.028,-0.128,0.474,19,1.851,0.289,-0.144,-2.113,-0.317
3690.HK,-0.297,-0.064,-0.161,0.333,18,-1.26,-0.256,-0.309,0.9630000000000001,0.192
0016.HK,-0.33,-0.038,-0.196,0.474,19,1.296,0.19,-0.212,-1.6260000000000001,-0.228
9618.HK,-0.35,-0.048,-0.135,0.4,25,-0.263,-0.056,-0.174,-0.08699999999999997,0.008
9888.HK,-0.419,-0.063,-0.156,0.478,23,-1.133,-0.216,-0.342,0.714,0.153
0939.HK,-0.518,-0.029,-0.119,0.429,21,1.292,0.112,-0.057,-1.81,-0.14100000000000001
0316.HK,-0.569,-0.051,-0.111,0.45,20,0.199,0.011,-0.184,-0.768,-0.062
2269.HK,-0.569,-0.091,-0.199,0.45,20,-0.239,-0.082,-0.287,-0.32999999999999996,-0.008999999999999994
0823.HK,-0.723,-0.036,-0.08,0.6,15,0.41,0.033,-0.136,-1.133,-0.069
2388.HK,-0.753,-0.058,-0.138,0.545,22,1.644,0.169,-0.104,-2.397,-0.227
0669.HK,-0.769,-0.082,-0.161,0.429,21,1.498,0.245,-0.2,-2.267,-0.327
1398.HK,-0.785,-0.04,-0.115,0.6,20,1.131,0.099,-0.07,-1.916,-0.139
2382.HK,-0.852,-0.111,-0.195,0.3,20,0.404,0.042,-0.222,-1.256,-0.153
1088.HK,-0.914,-0.08,-0.107,0.318,22,1.144,0.138,-0.124,-2.058,-0.21800000000000003
1113.HK,-1.157,-0.091,-0.145,0.444,18,1.143,0.128,-0.141,-2.3,-0.219
0066.HK,-1.194,-0.084,-0.179,0.316,19,0.337,0.027,-0.17,-1.531,-0.111
1093.HK,-1.358,-0.229,-0.337,0.389,18,-0.532,-0.152,-0.349,-0.8260000000000001,-0.07700000000000001
2020.HK,-1.361,-0.108,-0.125,0.333,12,-0.824,-0.091,-0.149,-0.537,-0.017
1044.HK,-1.488,-0.084,-0.118,0.389,18,-1.868,-0.142,-0.188,0.3800000000000001,0.05799999999999998
0322.HK,-1.607,-0.207,-0.286,0.45,20,-0.549,-0.106,-0.224,-1.0579999999999998,-0.10099999999999999
0762.HK,-1.672,-0.122,-0.169,0.556,18,-0.887,-0.089,-0.133,-0.7849999999999999,-0.033
0941.HK,-1.713,-0.062,-0.062,0.444,18,-0.444,-0.021,-0.058,-1.2690000000000001,-0.040999999999999995
1299.HK,-1.72,-0.195,-0.279,0.391,23,-0.623,-0.117,-0.228,-1.097,-0.078
1177.HK,-1.862,-0.199,-0.247,0.381,21,-2.055,-0.301,-0.373,0.19300000000000006,0.10199999999999998
0012.HK,-1.899,-0.156,-0.192,0.476,21,-0.564,-0.081,-0.247,-1.335,-0.075
2899.HK,-2.054,-0.271,-0.378,0.375,24,-0.895,-0.215,-0.369,-1.1589999999999998,-0.05600000000000002
1378.HK,-2.112,-0.28,-0.342,0.435,23,-0.888,-0.215,-0.341,-1.2240000000000002,-0.06500000000000003
2318.HK,-2.198,-0.182,-0.221,0.318,22,-1.111,-0.151,-0.226,-1.087,-0.031
0002.HK,-2.273,-0.094,-0.128,0.25,16,0.694,0.043,-0.063,-2.967,-0.137
0836.HK,-2.308,-0.155,-0.155,0.35,20,1.0,0.095,-0.075,-3.308,-0.25
0101.HK,-2.312,-0.22,-0.255,0.25,20,-0.927,-0.13,-0.259,-1.3849999999999998,-0.09
3968.HK,-2.357,-0.135,-0.149,0.25,12,-1.104,-0.082,-0.108,-1.2530000000000001,-0.053000000000000005
0267.HK,-2.432,-0.19,-0.216,0.32,25,0.33,0.028,-0.131,-2.762,-0.218
1928.HK,-2.44,-0.209,-0.21,0.294,17,-2.332,-0.276,-0.272,-0.1080000000000001,0.06700000000000003
9988.HK,-2.692,-0.29,-0.316,0.435,23,-1.527,-0.281,-0.381,-1.1650000000000003,-0.008999999999999952
0388.HK,-2.791,-0.183,-0.223,0.211,19,-1.096,-0.103,-0.158,-1.6949999999999998,-0.08
1997.HK,-2.845,-0.21,-0.222,0.45,20,-1.012,-0.127,-0.24,-1.8330000000000002,-0.08299999999999999
2313.HK,-3.177,-0.283,-0.324,0.421,19,-2.536,-0.308,-0.349,-0.641,0.025000000000000022
0700.HK,-3.243,-0.308,-0.322,0.238,21,-1.931,-0.268,-0.329,-1.3119999999999998,-0.03999999999999998
0386.HK,-3.311,-0.219,-0.267,0.263,19,-1.123,-0.128,-0.276,-2.1879999999999997,-0.091
1211.HK,-3.379,-0.34,-0.34,0.217,23,-0.692,-0.142,-0.25,-2.6870000000000003,-0.19800000000000004
2015.HK,-3.618,-0.338,-0.338,0.286,21,-1.112,-0.221,-0.308,-2.506,-0.11700000000000002
1810.HK,-4.013,-0.313,-0.313,0.316,19,-2.647,-0.361,-0.343,-1.366,0.04799999999999999
