sharpe,return_annual,volatility,max_dd,calmar,profit_factor,trades,win_rate,max_losing_streak,t_stat,significant,total_return,cost_total,symbol,strategy,status
-0.979,-0.234,0.239,-0.645,-0.362,0.73,98.0,0.398,6.0,-1.01,False,-0.593,0.2254,9988.HK,mean_reversion,ok
0.409,0.177,0.433,-0.66,0.268,1.07,50.0,0.492,9.0,0.75,False,0.337,0.2277,9988.HK,momentum,ok
-0.245,-0.052,0.214,-0.441,-0.119,0.92,199.0,0.308,5.0,-0.26,False,-0.225,0.4577,9988.HK,breakout,ok
-0.57,-0.115,0.201,-0.466,-0.246,0.78,70.0,0.409,4.0,-0.46,False,-0.371,0.161,9988.HK,rsi_reversal,ok
-0.823,-0.339,0.412,-0.837,-0.405,0.86,165.0,0.451,8.0,-1.46,False,-0.767,0.5773,9988.HK,multifactor,ok
-0.846,-0.116,0.137,-0.411,-0.283,0.66,84.0,0.349,7.0,-0.6,False,-0.35,0.1932,9988.HK,bollinger,ok
-0.425,-0.066,0.156,-0.278,-0.238,0.88,127.0,0.382,11.0,-0.45,False,-0.235,0.2921,0012.HK,mean_reversion,ok
-0.117,-0.032,0.276,-0.532,-0.061,0.98,54.0,0.474,14.0,-0.21,False,-0.214,0.2461,0012.HK,momentum,ok
-0.14,-0.019,0.135,-0.306,-0.062,0.96,189.0,0.329,6.0,-0.15,False,-0.091,0.4347,0012.HK,breakout,ok
-1.099,-0.138,0.126,-0.4,-0.346,0.64,73.0,0.349,11.0,-0.89,False,-0.394,0.1679,0012.HK,rsi_reversal,ok
-0.696,-0.181,0.261,-0.658,-0.276,0.88,176.0,0.433,9.0,-1.2,False,-0.521,0.5451,0012.HK,multifactor,ok
-0.53,-0.052,0.098,-0.21,-0.248,0.77,92.0,0.318,5.0,-0.38,False,-0.177,0.2116,0012.HK,bollinger,ok
-0.554,-0.05,0.091,-0.17,-0.296,0.83,94.0,0.376,7.0,-0.56,False,-0.17,0.2162,0941.HK,mean_reversion,ok
-0.371,-0.062,0.168,-0.422,-0.148,0.94,57.0,0.48,18.0,-0.67,False,-0.23,0.2553,0941.HK,momentum,ok
-2.152,-0.191,0.089,-0.516,-0.37,0.49,219.0,0.263,8.0,-2.36,True,-0.486,0.5037,0941.HK,breakout,ok
-0.11,-0.008,0.07,-0.074,-0.104,0.95,78.0,0.385,4.0,-0.09,False,-0.034,0.1794,0941.HK,rsi_reversal,ok
-1.962,-0.291,0.148,-0.681,-0.427,0.69,189.0,0.412,10.0,-3.32,True,-0.644,0.5865,0941.HK,multifactor,ok
-0.253,-0.015,0.059,-0.099,-0.152,0.88,91.0,0.328,8.0,-0.18,False,-0.056,0.2093,0941.HK,bollinger,ok
-0.399,-0.081,0.203,-0.458,-0.177,0.86,100.0,0.386,7.0,-0.41,False,-0.294,0.23,0388.HK,mean_reversion,ok
-0.292,-0.094,0.322,-0.523,-0.179,0.95,58.0,0.479,12.0,-0.53,False,-0.391,0.2645,0388.HK,momentum,ok
-0.92,-0.171,0.186,-0.55,-0.311,0.71,228.0,0.278,6.0,-1.04,False,-0.475,0.5244,0388.HK,breakout,ok
