symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha,days
0005.HK,牛熊逆向,1.802,0.018,-0.002,1.0,1,1.01,0.04,-0.081,0.791,33
0005.HK,牛熊順向,1.76,0.065,-0.081,1.0,2,1.01,0.04,-0.081,0.75,33
0002.HK,牛熊逆向,-1.161,-0.001,-0.008,0.0,1,-2.028,-0.029,-0.048,0.867,33
0002.HK,牛熊順向,-2.832,-0.039,-0.055,0.0,2,-2.028,-0.029,-0.048,-0.804,33
0291.HK,牛熊逆向,-3.364,-0.054,-0.054,0.0,1,-5.905,-0.168,-0.18,2.541,33
0291.HK,牛熊順向,-4.506,-0.116,-0.136,0.333,3,-5.905,-0.168,-0.18,1.399,33
0101.HK,牛熊逆向,-3.088,-0.008,-0.01,0.0,1,-6.473,-0.172,-0.211,3.386,33
0101.HK,牛熊順向,-6.305,-0.169,-0.207,0.0,3,-6.473,-0.172,-0.211,0.168,33
0016.HK,牛熊逆向,-0.719,-0.005,-0.025,0.0,1,-5.225,-0.185,-0.229,4.506,33
0016.HK,牛熊順向,-5.644,-0.192,-0.232,0.0,3,-5.225,-0.185,-0.229,-0.419,33
0322.HK,牛熊逆向,-0.5,-0.006,-0.033,0.0,1,-3.023,-0.163,-0.192,2.523,33
0322.HK,牛熊順向,-3.467,-0.179,-0.201,0.0,3,-3.023,-0.163,-0.192,-0.443,33
0316.HK,牛熊逆向,-2.178,-0.018,-0.026,0.0,1,-1.984,-0.103,-0.145,-0.193,33
0316.HK,牛熊順向,-1.904,-0.099,-0.137,0.0,2,-1.984,-0.103,-0.145,0.08,33
0386.HK,牛熊逆向,0.417,0.01,-0.023,1.0,1,-3.884,-0.104,-0.13,4.301,33
0386.HK,牛熊順向,-5.328,-0.119,-0.137,0.0,3,-3.884,-0.104,-0.13,-1.444,33
0288.HK,牛熊逆向,0.268,0.004,-0.002,1.0,1,-2.209,-0.068,-0.1,2.477,33
0288.HK,牛熊順向,-2.591,-0.08,-0.112,0.0,2,-2.209,-0.068,-0.1,-0.382,33
0267.HK,牛熊逆向,-3.117,-0.001,-0.002,0.0,1,-1.259,-0.047,-0.103,-1.859,33
0267.HK,牛熊順向,-1.398,-0.052,-0.11,0.5,2,-1.259,-0.047,-0.103,-0.139,33
0762.HK,牛熊逆向,-0.784,-0.002,-0.013,0.0,1,-1.643,-0.057,-0.118,0.859,33
0762.HK,牛熊順向,-1.841,-0.064,-0.124,0.0,2,-1.643,-0.057,-0.118,-0.198,33
0700.HK,牛熊逆向,-4.048,-0.039,-0.039,0.0,1,-1.049,-0.059,-0.099,-2.999,33
0700.HK,牛熊順向,-3.71,-0.105,-0.128,0.333,3,-1.049,-0.059,-0.099,-2.661,33
0992.HK,牛熊逆向,3.499,0.134,-0.002,1.0,1,5.795,1.045,-0.16,-2.297,33
0992.HK,牛熊順向,3.2,0.405,-0.181,0.4,5,5.795,1.045,-0.16,-2.595,33
0066.HK,牛熊逆向,-3.073,-0.004,-0.005,0.0,1,-3.088,-0.065,-0.111,0.015,33
0066.HK,牛熊順向,-4.763,-0.094,-0.124,0.0,2,-3.088,-0.065,-0.111,-1.675,33
0012.HK,牛熊逆向,-2.056,-0.013,-0.021,0.0,1,-6.237,-0.2,-0.252,4.181,33
0012.HK,牛熊順向,-5.551,-0.174,-0.22,0.0,3,-6.237,-0.2,-0.252,0.686,33
0388.HK,牛熊逆向,0.916,0.01,-0.004,1.0,1,-4.16,-0.097,-0.124,5.076,33
0388.HK,牛熊順向,-5.68,-0.124,-0.14,0.0,3,-4.16,-0.097,-0.124,-1.52,33
0175.HK,牛熊逆向,0.775,0.018,-0.025,1.0,1,-4.87,-0.192,-0.23,5.645,33
0175.HK,牛熊順向,-5.332,-0.188,-0.206,0.25,4,-4.87,-0.192,-0.23,-0.462,33
0669.HK,牛熊逆向,1.859,0.037,-0.009,1.0,1,1.55,0.08,-0.089,0.309,33
0669.HK,牛熊順向,1.412,0.068,-0.089,0.5,2,1.55,0.08,-0.089,-0.137,33
0688.HK,牛熊逆向,-3.886,-0.03,-0.03,0.0,1,-0.179,-0.017,-0.179,-3.707,33
0688.HK,牛熊順向,-0.128,-0.014,-0.163,0.5,2,-0.179,-0.017,-0.179,0.05,33
0857.HK,牛熊逆向,-4.299,-0.058,-0.058,0.0,1,-5.372,-0.215,-0.214,1.073,33
0857.HK,牛熊順向,-4.172,-0.171,-0.171,0.0,3,-5.372,-0.215,-0.214,1.199,33
0868.HK,牛熊逆向,3.195,0.034,-0.002,1.0,1,-0.599,-0.042,-0.185,3.794,33
0868.HK,牛熊順向,-1.184,-0.072,-0.219,0.0,2,-0.599,-0.042,-0.185,-0.585,33
