symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,alpha
0005.HK,散戶情緒逆向,2.013,0.018,-0.002,1.0,1,1.058,0.04,0.954
0005.HK,南北水流入,1.731,0.032,-0.03,0.714,7,1.058,0.04,0.672
0005.HK,雙重確認(情緒+南北水),-2.901,-0.007,-0.011,0.0,2,1.058,0.04,-3.96
0700.HK,散戶情緒逆向,-3.981,-0.039,-0.039,0.0,1,-1.047,-0.059,-2.935
0700.HK,南北水流入,-1.534,-0.074,-0.094,0.286,7,-1.047,-0.059,-0.488
0700.HK,雙重確認(情緒+南北水),0.458,0.015,-0.079,0.5,2,-1.047,-0.059,1.505
0939.HK,散戶情緒逆向,-5.304,-0.015,-0.015,0.0,1,-1.1,-0.025,-4.204
0939.HK,南北水流入,-5.394,-0.068,-0.081,0.286,7,-1.1,-0.025,-4.294
0939.HK,雙重確認(情緒+南北水),-1.601,-0.009,-0.022,0.0,2,-1.1,-0.025,-0.501
0388.HK,散戶情緒逆向,1.157,0.01,-0.004,1.0,1,-4.305,-0.097,5.461
0388.HK,南北水流入,-5.399,-0.088,-0.089,0.0,7,-4.305,-0.097,-1.095
0388.HK,雙重確認(情緒+南北水),-0.924,-0.01,-0.032,0.0,2,-4.305,-0.097,3.381
0883.HK,散戶情緒逆向,-4.382,-0.058,-0.058,0.0,1,-6.061,-0.218,1.679
0883.HK,南北水流入,-3.641,-0.079,-0.106,0.429,7,-6.061,-0.218,2.419
0883.HK,雙重確認(情緒+南北水),-1.773,-0.023,-0.044,0.5,2,-6.061,-0.218,4.288
1810.HK,散戶情緒逆向,-3.064,-0.025,-0.025,0.0,1,-6.327,-0.207,3.263
1810.HK,南北水流入,-4.451,-0.102,-0.11,0.143,7,-6.327,-0.207,1.876
1810.HK,雙重確認(情緒+南北水),-2.329,-0.043,-0.07,0.0,2,-6.327,-0.207,3.998
0992.HK,散戶情緒逆向,3.593,0.134,-0.002,1.0,1,5.591,1.045,-1.998
0992.HK,南北水流入,2.929,0.147,-0.064,0.857,7,5.591,1.045,-2.662
0992.HK,雙重確認(情緒+南北水),0.797,0.023,-0.064,0.5,2,5.591,1.045,-4.794
0288.HK,散戶情緒逆向,1.005,0.004,-0.002,1.0,1,-2.223,-0.068,3.229
0288.HK,南北水流入,-3.862,-0.047,-0.055,0.286,7,-2.223,-0.068,-1.638
0288.HK,雙重確認(情緒+南北水),-5.084,-0.03,-0.033,0.5,2,-2.223,-0.068,-2.861
1299.HK,散戶情緒逆向,0.175,0.004,-0.019,1.0,1,-3.652,-0.143,3.827
1299.HK,南北水流入,-3.857,-0.123,-0.142,0.143,7,-3.652,-0.143,-0.205
1299.HK,雙重確認(情緒+南北水),-3.639,-0.089,-0.09,0.0,2,-3.652,-0.143,0.013
1398.HK,散戶情緒逆向,-3.581,-0.009,-0.011,0.0,1,-0.384,-0.01,-3.197
1398.HK,南北水流入,-3.608,-0.052,-0.067,0.286,7,-0.384,-0.01,-3.224
1398.HK,雙重確認(情緒+南北水),0.347,0.005,-0.016,0.5,2,-0.384,-0.01,0.731
3988.HK,散戶情緒逆向,-5.383,-0.015,-0.015,0.0,1,1.524,0.035,-6.907
3988.HK,南北水流入,-3.519,-0.052,-0.074,0.429,7,1.524,0.035,-5.044
3988.HK,雙重確認(情緒+南北水),-1.25,-0.007,-0.022,0.5,2,1.524,0.035,-2.774
2318.HK,散戶情緒逆向,-2.11,-0.019,-0.026,0.0,1,-6.148,-0.149,4.037
2318.HK,南北水流入,-9.952,-0.118,-0.118,0.0,7,-6.148,-0.149,-3.804
2318.HK,雙重確認(情緒+南北水),-4.649,-0.051,-0.056,0.0,2,-6.148,-0.149,1.498
9618.HK,散戶情緒逆向,-4.291,-0.013,-0.013,0.0,1,-1.21,-0.068,-3.082
9618.HK,南北水流入,-0.076,-0.009,-0.093,0.286,7,-1.21,-0.068,1.133
9618.HK,雙重確認(情緒+南北水),0.215,0.006,-0.057,0.5,2,-1.21,-0.068,1.424
