symbol,name,sector,beta,volatility,avg_daily_value_m,avg_daily_return_pct,max_drawdown_pct,contrarian_score,passed
2269.HK,藥明生物,醫藥,1.74,62.4,1153.1,0.011,-86.1,65.7,True
2015.HK,理想汽車-W,技術,1.58,56.0,1217.6,-0.017,-71.8,61.9,True
0981.HK,中芯國際,技術,1.42,57.1,3252.0,0.242,-45.2,60.7,True
2382.HK,舜宇光學,技術,1.43,53.2,703.9,0.031,-70.2,59.3,True
3690.HK,美團團,技術,1.55,48.8,5052.4,-0.059,-67.2,58.7,True
9618.HK,京東集團,技術,1.56,46.1,1635.5,-0.046,-67.1,57.9,True
1211.HK,比亞迪電子,技術,1.25,53.8,2461.6,-0.026,-82.6,57.7,True
9888.HK,阿里巴巴-SW,技術,1.37,46.3,1224.0,0.037,-53.5,56.1,True
9988.HK,阿里巴巴,技術,1.44,44.2,8389.6,0.057,-44.2,55.9,True
0992.HK,聯想集團,技術,1.21,49.1,793.8,0.215,-44.9,55.5,True
2628.HK,中國人壽,金融,1.47,41.5,937.1,0.143,-44.7,55.3,True
1378.HK,中國宏橋,建築,1.22,45.5,566.8,0.186,-43.5,54.2,True
1810.HK,小米集團-W,技術,1.25,42.8,4580.1,0.13,-59.1,53.6,True
0175.HK,吉利汽車,工業,1.28,41.9,844.4,0.085,-43.5,53.5,True
2318.HK,中國平安,金融,1.41,37.6,2020.6,0.048,-51.4,53.2,True
1093.HK,石藥集團,醫藥,1.08,44.6,642.5,0.025,-49.6,52.6,False
1109.HK,華潤置地,地產,1.33,40.8,458.1,0.045,-46.5,51.9,True
2899.HK,紫金礦業,工業,1.11,41.7,1036.9,0.167,-36.9,51.7,False
2020.HK,安踏體育,消費,1.16,36.4,765.8,-0.005,-47.4,50.3,False
0388.HK,港交所,金融,1.24,32.5,1932.4,0.041,-40.7,49.5,False
0700.HK,騰訊控股,技術,1.09,33.0,9757.5,0.067,-37.3,48.3,False
3968.HK,招商銀行,金融,1.07,33.0,769.6,0.053,-51.3,48.1,False
0291.HK,華潤啤酒,消費,1.28,40.5,377.5,-0.071,-64.8,48.1,True
0669.HK,創科醫藥,醫藥,0.83,39.4,495.9,0.068,-40.8,47.9,False
2319.HK,蒙牛乳業,消費,1.25,40.3,369.7,-0.052,-67.8,47.4,True
1299.HK,友邦保險,金融,0.96,31.8,2089.7,0.011,-48.6,46.5,False
2313.HK,申通快遞,交通,1.15,41.2,346.7,-0.034,-58.6,45.8,False
0688.HK,中國海外,地產,1.29,39.5,327.4,-0.001,-52.9,45.8,True
1177.HK,中國生物製藥,醫藥,1.1,41.1,348.9,0.04,-52.0,45.3,False
1928.HK,金沙中國,博彩,1.05,38.1,362.3,-0.043,-58.4,44.2,False
0857.HK,中國石油股份,能源,0.66,30.4,835.1,0.15,-36.5,43.0,False
0883.HK,中國海洋石油,能源,0.64,30.2,1676.1,0.135,-30.8,42.7,False
0386.HK,中國石油化工股份,能源,0.72,26.2,561.2,0.046,-30.8,42.0,False
1088.HK,中國神華,能源,0.57,27.5,555.0,0.11,-24.5,41.0,False
0939.HK,中國建設銀行,金融,0.69,22.6,1839.1,0.104,-22.0,40.4,False
1398.HK,工商銀行,金融,0.64,21.8,1219.7,0.098,-21.8,39.5,False
0005.HK,匯豐控股,金融,0.54,23.5,1423.0,0.163,-22.1,39.2,False
3988.HK,中國銀行,金融,0.64,20.1,968.5,0.107,-17.3,39.0,False
0868.HK,信義玻璃,工業,1.32,43.0,100.2,-0.007,-63.6,38.3,True
0016.HK,新鴻基地產,地產,0.7,25.9,383.1,0.041,-38.7,37.1,False
0762.HK,中國聯通,電信,0.67,32.0,304.7,0.084,-36.0,35.9,False
0941.HK,中國移動,電信,0.42,16.8,1493.2,0.073,-13.7,35.5,False
0267.HK,中信股份,綜合,1.14,31.9,172.9,0.093,-32.8,35.2,False
0823.HK,安踏體育,消費,0.58,24.9,359.7,-0.017,-47.9,34.6,False
0316.HK,東方海外,地產,0.83,41.6,135.9,0.042,-39.3,34.4,False
2388.HK,中銀香港,金融,0.57,21.9,336.5,0.101,-31.0,32.4,False
0836.HK,華潤電力,公用事業,0.57,29.5,261.4,0.063,-31.4,32.2,False
0101.HK,恆隆集團,地產,1.08,34.3,81.5,-0.037,-61.4,31.9,False
1997.HK,堅寶體育,消費,0.96,33.4,99.9,-0.04,-60.9,31.1,False
0011.HK,恆生銀行,金融,0.64,27.1,223.5,0.059,-37.7,30.5,False
0012.HK,恆基地產,地產,0.77,27.9,129.8,0.032,-29.7,28.3,False
1113.HK,長實集團,綜合,0.69,23.1,193.8,0.021,-37.6,28.3,False
0322.HK,康師傅控股,消費,0.65,32.5,108.2,-0.005,-49.2,28.0,False
0288.HK,萬洲國際,消費,0.58,27.2,168.0,0.105,-20.9,27.7,False
0066.HK,港鐵公司,交通,0.57,20.6,133.7,-0.002,-43.3,23.8,False
1044.HK,恆安國際,消費,0.66,23.8,57.1,-0.028,-47.6,22.8,False
0002.HK,中電控股,公用事業,0.3,15.8,194.3,0.05,-13.4,21.7,False
