symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha
0005.HK,南北水流入,0.635,0.606,-0.238,0.601,148,1.624,2.705,-0.221,-0.988
0005.HK,南北水動量,-0.037,0.025,-0.321,0.49,102,1.624,2.705,-0.221,-1.66
0005.HK,放量+南北水,-0.8,-0.281,-0.393,0.458,83,1.624,2.705,-0.221,-2.424
0002.HK,南北水流入,-1.076,-0.348,-0.38,0.397,146,0.603,0.469,-0.134,-1.678
0002.HK,南北水動量,-1.345,-0.352,-0.378,0.38,100,0.603,0.469,-0.134,-1.948
0002.HK,放量+南北水,-1.899,-0.374,-0.399,0.322,90,0.603,0.469,-0.134,-2.502
0291.HK,南北水流入,-0.927,-0.697,-0.731,0.399,153,-0.514,-0.589,-0.648,-0.412
0291.HK,南北水動量,-0.834,-0.599,-0.645,0.381,105,-0.514,-0.589,-0.648,-0.319
0291.HK,放量+南北水,-1.063,-0.545,-0.563,0.361,97,-0.514,-0.589,-0.648,-0.548
0101.HK,南北水流入,-1.073,-0.66,-0.713,0.44,150,-0.358,-0.405,-0.614,-0.714
0101.HK,南北水動量,-1.099,-0.57,-0.697,0.452,104,-0.358,-0.405,-0.614,-0.741
0101.HK,放量+南北水,-0.274,-0.121,-0.379,0.448,87,-0.358,-0.405,-0.614,0.085
0016.HK,南北水流入,-0.615,-0.35,-0.589,0.456,149,0.284,0.271,-0.387,-0.899
0016.HK,南北水動量,-0.284,-0.118,-0.535,0.436,101,0.284,0.271,-0.387,-0.568
0016.HK,放量+南北水,-0.975,-0.314,-0.358,0.348,89,0.284,0.271,-0.387,-1.259
0322.HK,南北水流入,-0.571,-0.434,-0.466,0.433,150,-0.131,-0.2,-0.492,-0.44
0322.HK,南北水動量,-1.004,-0.575,-0.583,0.385,104,-0.131,-0.2,-0.492,-0.872
0322.HK,放量+南北水,-0.126,-0.055,-0.277,0.427,89,-0.131,-0.2,-0.492,0.006
0316.HK,南北水流入,-0.494,-0.525,-0.617,0.46,150,0.184,0.065,-0.393,-0.678
0316.HK,南北水動量,-1.34,-0.783,-0.799,0.413,109,0.184,0.065,-0.393,-1.523
0316.HK,放量+南北水,-1.227,-0.672,-0.679,0.298,94,0.184,0.065,-0.393,-1.411
0386.HK,南北水流入,-0.316,-0.2,-0.426,0.453,148,0.326,0.32,-0.308,-0.643
0386.HK,南北水動量,-0.787,-0.367,-0.508,0.433,104,0.326,0.32,-0.308,-1.114
0386.HK,放量+南北水,-0.395,-0.13,-0.342,0.453,95,0.326,0.32,-0.308,-0.722
0288.HK,南北水流入,-0.007,0.008,-0.332,0.429,147,0.859,1.17,-0.209,-0.866
0288.HK,南北水動量,0.027,0.061,-0.212,0.52,102,0.859,1.17,-0.209,-0.831
0288.HK,放量+南北水,0.574,0.435,-0.116,0.527,93,0.859,1.17,-0.209,-0.285
0267.HK,南北水流入,-0.061,-0.086,-0.35,0.477,149,0.642,0.873,-0.328,-0.702
0267.HK,南北水動量,-0.521,-0.337,-0.484,0.529,104,0.642,0.873,-0.328,-1.163
0267.HK,放量+南北水,-0.453,-0.244,-0.334,0.38,100,0.642,0.873,-0.328,-1.095
0762.HK,南北水流入,-0.357,-0.284,-0.477,0.463,149,0.564,0.724,-0.36,-0.921
0762.HK,南北水動量,-0.043,-0.029,-0.36,0.396,101,0.564,0.724,-0.36,-0.607
0762.HK,放量+南北水,-1.001,-0.454,-0.474,0.375,88,0.564,0.724,-0.36,-1.565
0700.HK,南北水流入,-0.467,-0.38,-0.525,0.444,151,0.424,0.483,-0.373,-0.891
0700.HK,南北水動量,-0.578,-0.351,-0.494,0.447,103,0.424,0.483,-0.373,-1.002
0700.HK,放量+南北水,-0.861,-0.342,-0.468,0.369,84,0.424,0.483,-0.373,-1.285
0992.HK,南北水流入,0.629,0.95,-0.335,0.577,149,1.044,3.239,-0.449,-0.415
0992.HK,南北水動量,-0.254,-0.336,-0.589,0.398,108,1.044,3.239,-0.449,-1.298
0992.HK,放量+南北水,-0.209,-0.187,-0.471,0.471,85,1.044,3.239,-0.449,-1.253
0066.HK,南北水流入,-1.212,-0.498,-0.543,0.423,149,-0.176,-0.09,-0.433,-1.036
0066.HK,南北水動量,-1.567,-0.502,-0.581,0.376,101,-0.176,-0.09,-0.433,-1.391
0066.HK,放量+南北水,-1.64,-0.452,-0.477,0.325,77,-0.176,-0.09,-0.433,-1.464
0011.HK,南北水流入,-0.172,-0.117,-0.444,0.429,126,0.434,0.408,-0.377,-0.606
0011.HK,南北水動量,-0.73,-0.379,-0.504,0.418,91,0.434,0.408,-0.377,-1.163
0011.HK,放量+南北水,-0.92,-0.262,-0.333,0.351,77,0.434,0.408,-0.377,-1.354
0012.HK,南北水流入,-0.122,-0.091,-0.368,0.46,150,0.184,0.156,-0.297,-0.306
0012.HK,南北水動量,-0.74,-0.36,-0.534,0.417,103,0.184,0.156,-0.297,-0.924
0012.HK,放量+南北水,-0.591,-0.227,-0.372,0.439,82,0.184,0.156,-0.297,-0.775
0388.HK,南北水流入,-0.688,-0.498,-0.547,0.376,149,0.224,0.187,-0.407,-0.912
0388.HK,南北水動量,-0.873,-0.492,-0.55,0.413,104,0.224,0.187,-0.407,-1.096
0388.HK,放量+南北水,-0.265,-0.157,-0.456,0.433,90,0.224,0.187,-0.407,-0.488
0175.HK,南北水流入,-0.362,-0.421,-0.482,0.458,153,0.442,0.541,-0.435,-0.804
