sharpe,sortino,total_return,max_dd,win_rate,num_trades,annual_return,symbol,strategy,status
0.604,0.937,0.306,-0.274,0.333,18,0.12,0700.HK,flow_follow,ok
0.479,0.709,0.246,-0.32,0.357,14,0.098,0700.HK,flow_momentum,ok
-1.102,-1.552,-0.4,-0.408,0.417,120,-0.195,0700.HK,smart_flow,ok
0.26,0.396,0.082,-0.251,0.568,37,0.034,0700.HK,flow_divergence,ok
0.379,0.551,0.183,-0.417,0.357,14,0.074,0700.HK,flow_accumulation,ok
0.482,0.823,0.287,-0.313,0.4,20,0.113,9988.HK,flow_follow,ok
0.135,0.207,-0.063,-0.416,0.308,13,-0.027,9988.HK,flow_momentum,ok
-0.935,-1.323,-0.458,-0.458,0.343,105,-0.228,9988.HK,smart_flow,ok
0.188,0.285,-0.01,-0.362,0.531,49,-0.004,9988.HK,flow_divergence,ok
0.648,1.048,0.573,-0.429,0.333,24,0.212,9988.HK,flow_accumulation,ok
1.552,2.502,1.918,-0.249,0.5,18,0.574,1810.HK,flow_follow,ok
0.769,1.102,0.636,-0.48,0.4,15,0.232,1810.HK,flow_momentum,ok
-0.19,-0.287,-0.188,-0.497,0.388,134,-0.085,1810.HK,smart_flow,ok
0.349,0.511,0.151,-0.442,0.592,49,0.061,1810.HK,flow_divergence,ok
1.071,1.617,1.507,-0.541,0.5,20,0.476,1810.HK,flow_accumulation,ok
1.1,1.774,1.106,-0.198,0.444,18,0.371,1177.HK,flow_follow,ok
-0.153,-0.209,-0.226,-0.466,0.333,18,-0.103,1177.HK,flow_momentum,ok
-0.833,-1.133,-0.426,-0.426,0.43,107,-0.21,1177.HK,smart_flow,ok
0.022,0.032,-0.13,-0.401,0.56,50,-0.057,1177.HK,flow_divergence,ok
0.549,0.839,0.413,-0.409,0.375,24,0.158,1177.HK,flow_accumulation,ok
0.146,0.233,-0.051,-0.442,0.346,26,-0.022,0992.HK,flow_follow,ok
0.459,0.66,0.273,-0.413,0.4,15,0.108,0992.HK,flow_momentum,ok
0.353,0.57,0.152,-0.322,0.515,130,0.062,0992.HK,smart_flow,ok
0.373,0.566,0.18,-0.375,0.619,42,0.073,0992.HK,flow_divergence,ok
0.687,1.007,0.672,-0.428,0.5,16,0.243,0992.HK,flow_accumulation,ok
-0.522,-0.729,-0.289,-0.419,0.263,19,-0.134,0388.HK,flow_follow,ok
-0.201,-0.279,-0.205,-0.319,0.286,14,-0.092,0388.HK,flow_momentum,ok
-0.834,-1.41,-0.357,-0.378,0.378,111,-0.171,0388.HK,smart_flow,ok
-0.157,-0.227,-0.179,-0.406,0.622,45,-0.08,0388.HK,flow_divergence,ok
0.244,0.369,0.058,-0.39,0.357,14,0.024,0388.HK,flow_accumulation,ok
0.274,0.346,0.087,-0.249,0.391,23,0.036,0005.HK,flow_follow,ok
1.421,1.934,0.974,-0.217,0.7,10,0.334,0005.HK,flow_momentum,ok
0.11,0.161,0.013,-0.182,0.541,157,0.005,0005.HK,smart_flow,ok
0.937,1.224,0.525,-0.198,0.703,37,0.196,0005.HK,flow_divergence,ok
1.378,1.863,1.101,-0.221,0.636,11,0.369,0005.HK,flow_accumulation,ok
0.511,0.713,0.28,-0.407,0.5,22,0.11,0883.HK,flow_follow,ok
1.219,1.761,1.03,-0.281,0.636,11,0.35,0883.HK,flow_momentum,ok
-0.257,-0.343,-0.173,-0.343,0.526,135,-0.077,0883.HK,smart_flow,ok
1.502,2.155,1.229,-0.237,0.718,39,0.404,0883.HK,flow_divergence,ok
1.151,1.627,1.158,-0.326,0.7,10,0.385,0883.HK,flow_accumulation,ok
-0.599,-0.887,-0.418,-0.448,0.158,19,-0.205,9618.HK,flow_follow,ok
-0.819,-1.146,-0.541,-0.575,0.188,16,-0.281,9618.HK,flow_momentum,ok
-0.51,-0.774,-0.321,-0.406,0.404,99,-0.151,9618.HK,smart_flow,ok
-0.503,-0.703,-0.503,-0.66,0.596,52,-0.256,9618.HK,flow_divergence,ok
-0.452,-0.657,-0.543,-0.662,0.19,21,-0.282,9618.HK,flow_accumulation,ok
-0.516,-0.716,-0.322,-0.482,0.19,21,-0.152,9999.HK,flow_follow,ok
-0.443,-0.595,-0.412,-0.481,0.267,15,-0.202,9999.HK,flow_momentum,ok
-0.293,-0.406,-0.218,-0.328,0.455,121,-0.099,9999.HK,smart_flow,ok
0.435,0.579,0.237,-0.412,0.673,49,0.095,9999.HK,flow_divergence,ok
0.215,0.288,-0.012,-0.474,0.375,16,-0.005,9999.HK,flow_accumulation,ok
