sharpe,sortino,calmar,total_return,max_dd,win_rate,num_trades,expectancy,symbol,strategy,status
1.236,1.949,1.666,1.584,-0.297,0.44,25,6.33612,1810.HK,momentum,ok
0.289,0.45,0.096,0.104,-0.446,0.778,9,1.15278,1810.HK,rsi,ok
-0.298,-0.411,-0.304,-0.324,-0.503,0.714,7,-4.63237,1810.HK,bollinger,ok
1.35,2.162,1.697,1.785,-0.32,0.4,10,17.85303,1810.HK,breakout,ok
0.313,0.47,0.101,0.12,-0.486,0.448,29,0.4121,1810.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,1810.HK,southbound,ok
1.339,2.386,2.701,2.521,-0.261,0.565,23,10.96147,0992.HK,momentum,ok
0.814,1.134,0.638,0.653,-0.372,0.833,12,5.44113,0992.HK,rsi,ok
0.771,1.047,0.67,0.57,-0.314,0.636,11,5.18201,0992.HK,bollinger,ok
1.116,1.981,1.556,1.751,-0.344,0.438,16,10.94411,0992.HK,breakout,ok
1.872,3.575,3.557,4.121,-0.28,0.64,25,16.48475,0992.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,0992.HK,southbound,ok
0.817,1.287,0.763,0.731,-0.343,0.25,24,3.04525,1177.HK,momentum,ok
-0.657,-0.948,-0.483,-0.47,-0.489,0.375,8,-5.87707,1177.HK,rsi,ok
-0.252,-0.366,-0.325,-0.259,-0.366,0.333,9,-2.87389,1177.HK,bollinger,ok
0.806,1.271,0.709,0.722,-0.365,0.25,12,6.01938,1177.HK,breakout,ok
-0.228,-0.34,-0.311,-0.314,-0.474,0.3,30,-1.04557,1177.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,1177.HK,southbound,ok
0.477,0.812,0.248,0.302,-0.476,0.44,25,1.20973,9988.HK,momentum,ok
-0.447,-0.648,-0.436,-0.363,-0.399,0.5,8,-4.5422,9988.HK,rsi,ok
0.263,0.38,0.126,0.079,-0.261,0.6,10,0.79285,9988.HK,bollinger,ok
0.238,0.389,0.051,0.049,-0.405,0.231,13,0.37872,9988.HK,breakout,ok
0.657,1.068,0.467,0.523,-0.417,0.481,27,1.93572,9988.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,9988.HK,southbound,ok
-0.145,-0.211,-0.203,-0.163,-0.357,0.214,28,-0.58245,0700.HK,momentum,ok
-0.091,-0.141,-0.178,-0.132,-0.329,0.571,7,-1.89242,0700.HK,rsi,ok
0.817,1.364,0.636,0.529,-0.31,0.8,10,5.2891,0700.HK,bollinger,ok
-0.575,-0.768,-0.393,-0.392,-0.484,0.25,16,-2.45182,0700.HK,breakout,ok
0.347,0.558,0.188,0.147,-0.317,0.483,29,0.50554,0700.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,0700.HK,southbound,ok
-0.068,-0.108,-0.147,-0.134,-0.4,0.172,29,-0.46038,0388.HK,momentum,ok
0.579,0.962,0.408,0.305,-0.293,0.667,12,2.54378,0388.HK,rsi,ok
0.259,0.409,0.112,0.083,-0.304,0.375,8,1.03289,0388.HK,bollinger,ok
0.128,0.192,-0.022,-0.017,-0.328,0.308,13,-0.12839,0388.HK,breakout,ok
-0.052,-0.083,-0.156,-0.121,-0.342,0.37,27,-0.44831,0388.HK,macd,ok
inf,inf,,0.0,0.0,0.0,0,0.0,0388.HK,southbound,ok
