sharpe,return_annual,volatility,max_dd,calmar,profit_factor,trades,win_rate,max_losing_streak,t_stat,significant,total_return,cost_total,symbol,strategy,status
-0.274,-0.063,0.231,-0.523,-0.121,0.92,121,0.361,7,-0.29,False,-0.264,0.2783,1810.HK,mean_reversion,ok
0.855,0.361,0.422,-0.401,0.9,1.16,51,0.534,10,1.56,False,1.537,0.2277,1810.HK,momentum,ok
-0.677,-0.146,0.215,-0.492,-0.296,0.8,203,0.341,5,-0.75,False,-0.439,0.4669,1810.HK,breakout,ok
-0.431,-0.076,0.176,-0.399,-0.191,0.82,62,0.341,7,-0.31,False,-0.269,0.1426,1810.HK,rsi_reversal,ok
0.507,0.2,0.395,-0.486,0.412,1.1,148,0.489,10,0.89,False,0.512,0.4623,1810.HK,multifactor,ok
-0.036,-0.005,0.15,-0.332,-0.016,0.98,114,0.311,7,-0.03,False,-0.055,0.2622,1810.HK,bollinger,ok
-0.466,-0.081,0.173,-0.426,-0.189,0.85,108,0.398,6,-0.46,False,-0.279,0.2484,0700.HK,mean_reversion,ok
-0.517,-0.168,0.326,-0.597,-0.282,0.91,55,0.482,8,-0.94,False,-0.531,0.2507,0700.HK,momentum,ok
-1.585,-0.259,0.163,-0.638,-0.406,0.58,214,0.264,8,-1.71,False,-0.606,0.4922,0700.HK,breakout,ok
-0.644,-0.089,0.138,-0.336,-0.265,0.75,60,0.371,6,-0.48,False,-0.286,0.138,0700.HK,rsi_reversal,ok
-0.387,-0.119,0.308,-0.663,-0.18,0.93,170,0.455,9,-0.68,False,-0.435,0.5405,0700.HK,multifactor,ok
-0.09,-0.009,0.098,-0.264,-0.034,0.96,92,0.339,6,-0.06,False,-0.046,0.2116,0700.HK,bollinger,ok
-0.44,-0.052,0.118,-0.237,-0.22,0.86,100,0.391,5,-0.45,False,-0.183,0.23,0939.HK,mean_reversion,ok
-0.75,-0.169,0.225,-0.556,-0.304,0.88,55,0.479,10,-1.34,False,-0.486,0.2507,0939.HK,momentum,ok
-1.373,-0.141,0.103,-0.411,-0.344,0.64,198,0.291,8,-1.46,False,-0.394,0.4554,0939.HK,breakout,ok
-0.321,-0.029,0.091,-0.17,-0.173,0.87,74,0.395,5,-0.25,False,-0.108,0.1702,0939.HK,rsi_reversal,ok
-0.26,-0.055,0.213,-0.317,-0.175,0.95,163,0.444,10,-0.45,False,-0.234,0.5083,0939.HK,multifactor,ok
-0.516,-0.034,0.066,-0.162,-0.209,0.78,82,0.347,7,-0.36,False,-0.116,0.1886,0939.HK,bollinger,ok
-0.669,-0.165,0.247,-0.572,-0.289,0.79,106,0.361,9,-0.7,False,-0.489,0.2438,1177.HK,mean_reversion,ok
0.804,0.328,0.408,-0.435,0.753,1.15,48,0.541,9,1.45,False,1.307,0.2185,1177.HK,momentum,ok
-0.899,-0.175,0.194,-0.519,-0.337,0.76,228,0.321,6,-1.03,False,-0.484,0.5244,1177.HK,breakout,ok
-0.863,-0.144,0.167,-0.447,-0.323,0.69,68,0.35,7,-0.68,False,-0.418,0.1564,1177.HK,rsi_reversal,ok
0.244,0.093,0.38,-0.485,0.191,1.05,150,0.487,9,0.42,False,0.074,0.4347,1177.HK,multifactor,ok
-0.606,-0.084,0.139,-0.363,-0.232,0.75,98,0.324,5,-0.45,False,-0.275,0.2254,1177.HK,bollinger,ok
-0.765,-0.251,0.328,-0.785,-0.319,0.74,114,0.434,6,-0.79,False,-0.651,0.2622,0992.HK,mean_reversion,ok
0.753,0.368,0.489,-0.356,1.036,1.15,45,0.486,10,1.36,False,1.364,0.2047,0992.HK,momentum,ok
0.028,0.008,0.302,-0.518,0.016,1.01,217,0.264,8,0.03,False,-0.113,0.5014,0992.HK,breakout,ok
-0.606,-0.153,0.253,-0.565,-0.271,0.75,70,0.429,6,-0.49,False,-0.472,0.161,0992.HK,rsi_reversal,ok
-0.234,-0.11,0.469,-0.819,-0.134,0.95,166,0.439,11,-0.41,False,-0.524,0.529,0992.HK,multifactor,ok
-0.767,-0.195,0.254,-0.621,-0.314,0.63,114,0.368,6,-0.6,False,-0.545,0.2622,0992.HK,bollinger,ok
-0.979,-0.234,0.239,-0.645,-0.362,0.73,98,0.398,6,-1.01,False,-0.593,0.2254,9988.HK,mean_reversion,ok
0.409,0.177,0.433,-0.66,0.268,1.07,50,0.492,9,0.75,False,0.337,0.2277,9988.HK,momentum,ok
-0.245,-0.052,0.214,-0.441,-0.119,0.92,199,0.308,5,-0.26,False,-0.225,0.4577,9988.HK,breakout,ok
-0.57,-0.115,0.201,-0.466,-0.246,0.78,70,0.409,4,-0.46,False,-0.371,0.161,9988.HK,rsi_reversal,ok
-0.823,-0.339,0.412,-0.837,-0.405,0.86,165,0.451,8,-1.46,False,-0.767,0.5773,9988.HK,multifactor,ok
-0.846,-0.116,0.137,-0.411,-0.283,0.66,84,0.349,7,-0.6,False,-0.35,0.1932,9988.HK,bollinger,ok
