symbol,name,sector,beta,volatility,avg_daily_value_m,avg_daily_return_pct,max_drawdown_pct,contrarian_score,passed
2269.HK,藥明生物,醫藥,1.74,62.4,1153.1,0.011,-86.1,65.7,True
2015.HK,理想汽車-W,技術,1.58,56.0,1217.6,-0.017,-71.8,61.9,True
0981.HK,中芯國際,技術,1.42,57.1,3252.0,0.242,-45.2,60.7,True
2382.HK,舜宇光學,技術,1.43,53.2,703.9,0.031,-70.2,59.3,True
3690.HK,美團團,技術,1.55,48.8,5052.4,-0.059,-67.2,58.7,True
9618.HK,京東集團,技術,1.56,46.1,1635.5,-0.046,-67.1,57.9,True
1211.HK,比亞迪電子,技術,1.25,53.8,2461.6,-0.026,-82.6,57.7,True
9888.HK,阿里巴巴-SW,技術,1.37,46.3,1224.0,0.037,-53.5,56.1,True
9988.HK,阿里巴巴,技術,1.44,44.2,8389.6,0.057,-44.2,55.9,True
0992.HK,聯想集團,技術,1.21,49.1,793.8,0.215,-44.9,55.5,True
2628.HK,中國人壽,金融,1.47,41.5,937.1,0.143,-44.7,55.3,True
1378.HK,中國宏橋,建築,1.22,45.5,566.8,0.186,-43.5,54.2,True
1810.HK,小米集團-W,技術,1.25,42.8,4580.1,0.13,-59.1,53.6,True
0175.HK,吉利汽車,工業,1.28,41.9,844.4,0.085,-43.5,53.5,True
2318.HK,中國平安,金融,1.41,37.6,2020.6,0.048,-51.4,53.2,True
1109.HK,華潤置地,地產,1.33,40.8,458.1,0.045,-46.5,51.9,True
0291.HK,華潤啤酒,消費,1.28,40.5,377.5,-0.071,-64.8,48.1,True
2319.HK,蒙牛乳業,消費,1.25,40.3,369.7,-0.052,-67.8,47.4,True
0688.HK,中國海外,地產,1.29,39.5,327.4,-0.001,-52.9,45.8,True
0868.HK,信義玻璃,工業,1.32,43.0,100.2,-0.007,-63.6,38.3,True
