gbp,jpy,cad,aud,sgd,twd,chf,krw,thb,myr,dem,nlg,bef,frf,itl,eur,php,inr,idr,zar,special_drawing_rights,neeri_1983_trade_wgt,neeri_1983_import_wgt,neeri_1983_export_wgt,neeri_2000_trade_wgt,neeri_2000_import_wgt,neeri_2000_export_wgt,neeri_2010_trade_wgt,neeri_2010_import_wgt,neeri_2010_export_wgt,neeri_2020_trade_wgt,neeri_2020_import_wgt,neeri_2020_export_wgt,date,hkd_usd_rate,hkd_cny_rate,data_type,source
10.2095,0.050345,5.548,5.079,5.975,0.255,9.681,0.00545,0.24075,1.853,,,,,,8.9845,0.1415,0.0875,0.0004672,0.449,10.55604869,,,,,,,,,,104.3,104.8,103.8,2025-10-31,7.771,1.09195,exchange_rate,HKMA
10.252,0.050595,5.574,5.1145,5.9835,0.255,9.7235,0.005439,0.2397,1.8502,,,,,,9.0265,0.1415,0.0875,0.0004667,0.452,10.56863771,,,,,,,,,,104.2,104.7,103.6,2025-10-30,7.771,1.0938,exchange_rate,HKMA
10.371,0.051045,5.5475,5.0875,5.9975,0.255,9.7805,0.005402,0.23905,1.8484,,,,,,9.0555,0.1415,0.0875,0.0004673,0.4505,10.6039081,,,,,,,,,,104.1,104.6,103.6,2025-10-28,7.769,1.0941,exchange_rate,HKMA
10.346,0.050775,5.557,5.079,5.9885,0.255,9.7525,0.00542,0.23795,1.8432,,,,,,9.0315,0.1415,0.0885,0.0004671,0.4515,10.6006887,,,,,,,,,,104.2,104.7,103.7,2025-10-27,7.77,1.0923,exchange_rate,HKMA
10.3395,0.05082,5.5515,5.057,5.9865,0.255,9.77,0.0054,0.2384,1.83995,,,,,,9.0335,0.1415,0.0885,0.0004682,0.4505,,,,,,,,,,,104.3,104.8,103.8,2025-10-25,7.7705,1.0906,exchange_rate,HKMA
10.356,0.050835,5.5445,5.0525,5.9815,0.255,9.7735,0.005409,0.2375,1.83975,,,,,,9.023,0.1415,0.0885,0.0004677,0.4485,10.58608576,,,,,,,,,,104.3,104.8,103.8,2025-10-24,7.772,1.0905,exchange_rate,HKMA
10.378,0.05093,5.5555,5.0565,5.9835,0.255,9.748,0.005397,0.23735,1.83795,,,,,,9.0125,0.1415,0.0885,0.0004669,0.4475,10.58239539,,,,,,,,,,104.3,104.8,103.8,2025-10-23,7.773,1.09085,exchange_rate,HKMA
10.3535,0.051185,5.5475,5.0505,5.9865,0.255,9.764,0.005427,0.2372,1.83745,,,,,,9.0175,0.1415,0.0885,0.0004676,0.447,10.58282152,,,,,,,,,,104.3,104.8,103.8,2025-10-22,7.772,1.0905,exchange_rate,HKMA
10.4015,0.05137,5.5265,5.0435,5.9965,0.255,9.8085,0.005443,0.23845,1.8377,,,,,,9.0365,0.1415,0.0885,0.0004681,0.45,10.59197872,,,,,,,,,,104.2,104.7,103.7,2025-10-21,7.768000000000001,1.091,exchange_rate,HKMA
10.418,0.05152,5.5365,5.0445,6.0,0.255,9.783,0.005466,0.23725,1.8381,,,,,,9.057,0.1415,0.0885,0.0004685,0.448,10.60996792,,,,,,,,,,104.2,104.6,103.7,2025-10-20,7.769,1.0904,exchange_rate,HKMA
10.4305,0.05157,5.5405,5.048,5.9975,0.255,9.7945,0.005464,0.2382,1.8381,,,,,,9.0555,0.1415,0.0885,0.00046855,0.447,,,,,,,,,,,104.2,104.6,103.7,2025-10-18,7.769500000000001,1.09025,exchange_rate,HKMA
10.452,0.05191,5.5275,5.022,6.008,0.255,9.852,0.005467,0.23875,1.83875,,,,,,9.098,0.1415,0.0885,0.0004683,0.4465,10.6267959,,,,,,,,,,104.2,104.6,103.7,2025-10-17,7.77,1.08965,exchange_rate,HKMA
10.422,0.051385,5.5365,5.054,5.9995,0.255,9.7595,0.005479,0.23895,1.8378,,,,,,9.058,0.1415,0.0885,0.0004686,0.4485,10.61519745,,,,,,,,,,104.2,104.6,103.7,2025-10-16,7.773,1.09035,exchange_rate,HKMA
10.3925,0.051485,5.5435,5.0705,6.0075,0.255,9.7285,0.005478,0.2401,1.8411,,,,,,9.0495,0.1415,0.0875,0.0004693,0.4495,10.60876683,,,,,,,,,,104.1,104.6,103.6,2025-10-15,7.779,1.0916,exchange_rate,HKMA
