end_of_date,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u,data_type,source
2025-11-21,7.85,7.75,4.25,1.31,2.495,104.5,54183,54163,+0,+0,-20,+0,108060,140448,192177,215327,229891,232554,+0,+0,-0,+49,54212,+0,+0,-0,+18,54231,+0,+0,-0,-259,53971,,,,,,+0,+0,-0,-660,53311,liquidity,HKMA
2025-11-20,7.85,7.75,4.25,1.25,2.41036,104.5,54163,54183,+0,+0,-0,+20,125202,133226,165949,190203,214106,217674,+0,+0,-20,+0,54163,+0,+0,-0,+50,54213,+0,+0,-0,+18,54231,,,,,,+0,+0,-0,-920,53311,liquidity,HKMA
2025-11-19,7.85,7.75,4.25,0.93,2.28369,104.2,54090,54163,+0,+73,-0,+0,92327,122673,162539,191161,213655,212230,+0,+0,-0,+0,54163,+0,+0,-0,+0,54163,+0,+0,-0,+50,54213,,,,,,+0,+0,-0,-902,53311,liquidity,HKMA
2025-11-18,7.85,7.75,4.25,1.4,2.87762,104.4,54090,54090,+0,+0,-0,+0,115251,128075,152301,184260,204383,211768,+0,+0,-0,+73,54163,+0,+0,-0,+0,54163,+0,+0,-0,+0,54163,,,,,,+0,+0,-0,-852,53311,liquidity,HKMA
2025-11-17,7.85,7.75,4.25,1.75,3.00429,104.3,54090,54090,+0,+0,-0,+0,93912,126680,146416,165058,195812,203239,+0,+0,-0,+0,54090,+0,+0,-0,+88,54178,+0,+0,-0,+0,54178,,,,,,+0,+0,-0,-866,53311,liquidity,HKMA
2025-11-14,7.85,7.75,4.25,1.98,3.06351,104.3,54090,54090,+0,+0,-0,+0,96923,129023,156274,179590,196766,205734,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+88,54178,,,,,,+0,+0,-0,-866,53311,liquidity,HKMA
2025-11-13,7.85,7.75,4.25,2.35,3.09756,104.4,54090,54090,+0,+0,-0,+0,81846,121477,149294,174121,195889,197723,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311,liquidity,HKMA
2025-11-12,7.85,7.75,4.25,2.52,3.11661,104.5,54072,54090,+0,+18,-0,+0,86769,129175,170705,196262,209717,214078,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311,liquidity,HKMA
2025-11-11,7.85,7.75,4.25,2.57,3.01982,104.5,56016,54072,+0,+0,-1944,+0,73303,104671,124635,140769,150765,150417,+0,+0,-0,+18,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311,liquidity,HKMA
2025-11-10,7.85,7.75,4.25,1.85,3.02268,104.4,54171,56016,+0,+0,-100,+1944,95222,127597,149730,188995,206728,211579,+0,+0,-1944,+0,54072,+0,+0,-0,-3,54069,+0,+0,-0,+0,54069,,,,,,+0,+0,-0,-758,53311,liquidity,HKMA
2025-11-07,7.85,7.75,4.25,2.13,3.04637,104.5,54072,54171,+0,+0,-0,+100,113740,118113,154144,180168,213794,219292,+0,+0,-100,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,-3,54069,,,,,,+0,+0,-0,-758,53311,liquidity,HKMA
2025-11-06,7.85,7.75,4.25,2.4,3.11845,104.5,54072,54072,+0,+0,-0,+0,86062,114995,140550,174301,200659,208162,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,-3,54069.0,+0,+0,-0,-758,53311,liquidity,HKMA
2025-11-05,7.85,7.75,4.25,2.47,3.16131,104.6,54053,54072,+0,+18,-0,+0,120084,124774,159310,187014,196346,199076,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,,,,,,+0,+0,-0,-760,53311,liquidity,HKMA
2025-11-04,7.85,7.75,4.25,2.62,3.315,104.4,54678,54053,+0,+0,-625,+0,90469,126189,153733,178295,202381,203736,+0,+0,-0,+18,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,,,,,,+0,+0,-0,-760,53311,liquidity,HKMA
2025-11-03,7.85,7.75,4.25,2.92,3.38173,104.3,54053,54678,+0,+0,-0,+625,107067,141764,179944,194714,205634,211898,+0,+0,-625,+0,54053,+0,+0,-0,+23,54076,+0,+0,-0,+0,54076,,,,,,+0,+0,-0,-765,53311,liquidity,HKMA
2025-10-31,7.85,7.75,4.25,3.77,3.42911,104.3,54683,54053,+0,+0,-630,+0,95425,126584,171006,182261,216832,219279,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,+0,+0,-0,+23,54076,,,,,,+0,+0,-0,-765,53311,liquidity,HKMA
2025-10-30,7.85,7.75,4.25,3.02,3.41536,104.2,54172,54683,+0,-119,-0,+630,128884,142718,166132,189454,218516,224434,+0,+0,-630,+0,54053,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,,,,,,+0,+0,-0,-742,53311,liquidity,HKMA
2025-10-28,7.85,7.75,4.5,3.1,3.43738,104.1,54172,54172,+0,+0,-0,+0,118719,125655,162742,177901,193585,196055,+0,+0,-0,-119,54053,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,,,,,,+0,+0,-0,-742,53311,liquidity,HKMA
2025-10-27,7.85,7.75,4.5,2.88,3.5,104.2,54172,54172,+0,+0,-0,+0,97944,127902,152330,186791,202634,210251,+0,+0,-0,+0,54172,+0,+0,-0,-141,54031,+0,+0,-0,+0,54031,,,,,,+0,+0,-0,-720,53311,liquidity,HKMA
2025-10-24,7.85,7.75,4.5,2.78,3.47292,104.3,54192,54172,+0,+0,-20,+0,100130,135447,179229,191157,202690,209178,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,-141,54031,,,,,,+0,+0,-0,-720,53311,liquidity,HKMA
2025-10-23,7.85,7.75,4.5,2.9,3.54095,104.3,54172,54192,+0,+0,-0,+20,111767,118276,150851,174041,188986,202160,+0,+0,-20,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311,liquidity,HKMA
2025-10-22,7.85,7.75,4.5,3.0,3.53185,104.3,54164,54172,+0,+8,-0,+0,92215,122207,170861,195830,209461,212962,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311,liquidity,HKMA
2025-10-21,7.85,7.75,4.5,3.61,3.66411,104.2,54164,54164,+0,+0,-0,+0,84216,126567,163475,174104,188268,204972,+0,+0,-0,+8,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311,liquidity,HKMA
2025-10-20,7.85,7.75,4.5,3.72,3.57857,104.2,54164,54164,+0,+0,-0,+0,102281,140595,161797,185966,202410,211547,+0,+0,-0,+0,54164,+0,+0,-0,-22,54141,+0,+0,-0,+0,54141,,,,,,+0,+0,-0,-830,53311,liquidity,HKMA
2025-10-17,7.85,7.75,4.5,3.51,3.53167,104.2,54164,54164,+0,+0,-0,+0,90226,144812,169302,188938,203138,207738,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,-22,54141,,,,,,+0,+0,-0,-830,53311,liquidity,HKMA
2025-10-16,7.85,7.75,4.5,3.25,3.46494,104.2,54184,54164,+0,+0,-20,+0,90505,124740,158345,180733,189761,194553,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311,liquidity,HKMA
2025-10-15,7.85,7.75,4.5,3.16,3.42417,104.1,54167,54184,+0,-4,-0,+20,88341,132664,168785,188696,207288,210848,+0,+0,-20,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311,liquidity,HKMA
2025-10-14,7.85,7.75,4.5,3.41,3.50423,104.4,54167,54167,+0,+0,-0,+0,93798,130189,167278,195353,222742,224150,+0,+0,-0,-4,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311,liquidity,HKMA
2025-10-13,7.85,7.75,4.5,3.47,3.44024,104.3,54167,54167,+0,+0,-0,+0,80049,117321,131967,150019,153990,156535,+0,+0,-0,+0,54167,+0,+0,-0,-30,54137,+0,+0,-0,+0,54137,,,,,,+0,+0,-0,-826,53311,liquidity,HKMA
2025-10-10,7.85,7.75,4.5,3.18,3.48435,104.2,54167,54167,+0,+0,-0,+0,111500,142688,158915,137318,165454,217473,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,-30,54137,,,,,,+0,+0,-0,-826,53311,liquidity,HKMA
2025-10-09,7.85,7.75,4.5,3.16,3.52036,104.2,54167,54167,+0,+0,-0,+0,93582,136252,160556,171085,189397,195329,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,,,,,,+0,+0,-0,-856,53311,liquidity,HKMA
2025-10-08,7.85,7.75,4.5,3.23,3.55417,104.3,54147,54167,+0,+20,-0,+0,123711,133274,160934,181518,199165,202170,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167.0,+0,+0,-0,-856,53311,liquidity,HKMA
2025-10-06,7.85,7.75,4.5,3.48,3.58667,104.1,54147,54147,+0,+0,-0,+0,78420,128890,158471,178840,187888,189241,+0,+0,-0,+20,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,,,,,,+0,+0,-0,-856,53311,liquidity,HKMA
2025-10-03,7.85,7.75,4.5,3.45,3.51464,103.9,54147,54147,+0,+0,-0,+0,69303,134828,167344,196644,222064,225399,+0,+0,-0,+0,54147,+0,+0,-0,-42,54105,+0,+0,-0,+0,54105,,,,,,+0,+0,-0,-794,53311,liquidity,HKMA
2025-10-02,7.85,7.75,4.5,3.47,3.49685,103.9,54208,54147,+0,-61,-0,+0,95610,125127,176556,192550,212539,217546,+0,+0,-0,+0,54147,+0,+0,-0,+0,54147,+0,+0,-0,-42,54105,,,,,,+0,+0,-0,-794,53311,liquidity,HKMA
2025-09-30,7.85,7.75,4.5,4.62,3.53762,103.9,54208,54208,+0,+0,-0,+0,104669,148014,176312,188670,212770,211290,+0,+0,-0,-61,54147,+0,+0,-0,+0,54147,+0,+0,-0,+0,54147,,,,,,+0,+0,-0,-835,53311,liquidity,HKMA
2025-09-29,7.85,7.75,4.5,3.55,3.59804,103.8,54208,54208,+0,+0,-0,+0,91630,145369,178959,201140,241819,243106,+0,+0,-0,+0,54208,+0,+0,-0,-139,54068,+0,+0,-0,+0,54068,,,,,,+0,+0,-0,-757,53311,liquidity,HKMA
2025-09-26,7.85,7.75,4.5,3.68,3.60661,104.1,54208,54208,+0,+0,-0,+0,82654,133034,149874,183842,207549,212890,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,+0,+0,-0,-139,54068,,,,,,+0,+0,-0,-757,53311,liquidity,HKMA
2025-09-25,7.85,7.75,4.5,3.59,3.62202,103.9,55266,54208,+0,+216,-1274,+0,93431,143356,172293,207740,234909,238696,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311,liquidity,HKMA
2025-09-24,7.85,7.75,4.5,4.56,3.91107,103.7,54368,55266,+0,+0,-376,+1274,120199,138964,181270,199260,214493,215238,+0,+0,-1274,+216,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311,liquidity,HKMA
2025-09-23,7.85,7.75,4.5,4.33,3.91107,103.7,54032,54368,+0,+0,-40,+376,80177,135766,175261,202920,215720,228318,+0,+0,-376,+216,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311,liquidity,HKMA
2025-09-22,7.85,7.75,4.5,3.93,3.6131,103.8,53992,54032,+0,+0,-0,+40,90275,136812,180233,221999,235581,238987,+0,+0,-40,+0,53992,+0,+0,-0,+126,54118,+0,+0,-0,+0,54118,,,,,,+0,+0,-0,-807,53311,liquidity,HKMA
2025-09-19,7.85,7.75,4.5,3.15,3.41607,103.7,53992,53992,+0,+0,-0,+0,82161,129359,165482,196971,211045,218060,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+126,54118,,,,,,+0,+0,-0,-807,53311,liquidity,HKMA
2025-09-18,7.85,7.75,4.5,2.98,3.36089,103.5,53992,53992,+0,+0,-0,+0,94002,147079,165973,182988,215323,217267,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311,liquidity,HKMA
2025-09-17,7.85,7.75,4.75,2.79,3.21107,103.4,53983,53992,+0,+9,-0,+0,85116,134220,171979,193376,217675,220571,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311,liquidity,HKMA
2025-09-16,7.85,7.75,4.75,2.82,3.2175,103.5,53983,53983,+0,+0,-0,+0,88865,153291,176339,207453,221653,223282,+0,+0,-0,+9,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311,liquidity,HKMA
2025-09-15,7.85,7.75,4.75,2.97,3.19036,103.8,53983,53983,+0,+0,-0,+0,126912,143689,165547,186122,221436,222225,+0,+0,-0,+0,53983,+0,+0,-0,-54,53930,+0,+0,-0,+0,53930,,,,,,+0,+0,-0,-618,53311,liquidity,HKMA
2025-09-12,7.85,7.75,4.75,2.6,3.16196,103.6,53983,53983,+0,+0,-0,+0,88842,133975,162271,200404,216010,219216,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,-54,53930,,,,,,+0,+0,-0,-618,53311,liquidity,HKMA
2025-09-11,7.85,7.75,4.75,2.38,3.0372,103.6,53983,53983,+0,+0,-0,+0,96173,138720,171087,202523,225141,228594,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311,liquidity,HKMA
2025-09-10,7.85,7.75,4.75,2.37,3.08625,103.6,53996,53983,+0,-13,-0,+0,83550,137199,171150,190398,214346,214610,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311,liquidity,HKMA
2025-09-09,7.85,7.75,4.75,2.5,3.04369,103.5,53996,53996,+0,+0,-0,+0,117117,130888,145249,178849,193713,195724,+0,+0,-0,-13,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311,liquidity,HKMA
2025-09-08,7.85,7.75,4.75,2.5,3.00018,103.6,53996,53996,+0,+0,-0,+0,113396,133814,161607,189577,213229,216696,+0,+0,-0,+0,53996,+0,+0,-0,-58,53938,+0,+0,-0,+0,53938,,,,,,+0,+0,-0,-627,53311,liquidity,HKMA
2025-09-05,7.85,7.75,4.75,2.36,3.00018,103.7,53996,53996,+0,+0,-0,+0,86686,133050,160871,197724,205102,210662,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,-58,53938,,,,,,+0,+0,-0,-627,53311,liquidity,HKMA
2025-09-04,7.85,7.75,4.75,2.31,2.96702,103.8,53996,53996,+0,+0,-0,+0,87865,143420,155327,200828,215909,221468,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311,liquidity,HKMA
2025-09-03,7.85,7.75,4.75,2.2,2.84964,103.8,54061,53996,+0,-65,-0,+0,89142,138317,171180,190495,216832,221259,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311,liquidity,HKMA
2025-09-02,7.85,7.75,4.75,2.62,3.14816,103.6,55461,54061,+0,+0,-1400,+0,106936,155731,201446,224088,250773,259219,+0,+0,-0,-65,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311,liquidity,HKMA
2025-09-01,7.85,7.75,4.75,4.03,3.15345,103.6,54061,55461,+0,+0,-0,+1400,87457,130507,153302,166584,187289,186515,+0,+0,-1400,+0,54061,+0,+0,-0,+4,54066,+0,+0,-0,+0,54066,,,,,,+0,+0,-0,-754,53311,liquidity,HKMA
2025-08-29,7.85,7.75,4.75,3.56,3.29655,103.7,54061,54061,+0,+0,-0,+0,111747,179010,213067,238121,266394,268118,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,+0,+0,-0,+4,54066,,,,,,+0,+0,-0,-754,53311,liquidity,HKMA
2025-08-28,7.85,7.75,4.75,3.83,3.30649,103.6,54056,54061,+0,+5,-0,+0,128028,131046,175149,192678,219087,220259,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,,,,,,+0,+0,-0,-750,53311,liquidity,HKMA
