end_of_date,intraday_repo_at_0900,overnight_repo_at_0900,plp_fac_at_0900,intraday_repo_at_1100,overnight_repo_at_1100,plp_fac_at_1100,intraday_repo_at_1400,overnight_repo_at_1400,plp_fac_at_1400,intraday_repo_at_1600,overnight_repo_at_1600,plp_fac_at_1600,data_type,source
2025-11-21,0,0,0,3500,0,2000,4680,0,2000,3500,0,4000,rmb,HKMA
2025-11-20,0,0,0,3500,0,2000,3500,0,2000,4000,0,2000,rmb,HKMA
2025-11-19,3250,0,2000,7850,0,4000,12560,0,4700,12500,0,4000,rmb,HKMA
2025-11-18,12200,450,5060,10600,450,4500,11700,0,4000,11700,0,4000,rmb,HKMA
2025-11-17,8150,0,4000,7600,0,4000,7600,0,6000,8600,0,7000,rmb,HKMA
2025-11-14,685,0,0,3600,0,2000,13600,0,4000,13750,0,4000,rmb,HKMA
2025-11-13,2700,0,2000,4100,0,2000,5800,0,2000,12600,0,5000,rmb,HKMA
2025-11-12,4000,0,2000,12600,0,4000,23600,0,5000,23600,0,4000,rmb,HKMA
2025-11-11,9000,0,2230,9600,0,2200,9730,0,2200,3610,0,2000,rmb,HKMA
2025-11-10,11010,0,2841,14600,0,4741,15610,0,5000,15900,0,5000,rmb,HKMA
2025-11-07,15000,0,3310,19100,0,4810,19500,0,4000,20100,0,5000,rmb,HKMA
2025-11-06,3800,0,2249,3600,0,2249,3900,0,2000,14500,0,4000,rmb,HKMA
2025-11-05,0,0,0,3600,0,2000,3650,0,2000,4150,0,2000,rmb,HKMA
2025-11-04,0,0,1813,4000,0,2090,3500,0,2090,13100,0,4090,rmb,HKMA
2025-11-03,0,0,0,3600,0,2000,4000,0,4100,14600,0,6100,rmb,HKMA
2025-10-31,300,0,3600,3600,0,3600,4100,0,3600,17100,0,4000,rmb,HKMA
2025-10-30,0,0,1215,4150,0,2530,4710,0,3400,3810,0,4900,rmb,HKMA
2025-10-28,15000,0,3000,18500,0,5000,18200,0,5000,21150,0,4900,rmb,HKMA
2025-10-27,0,0,0,4200,0,3000,5370,0,5000,11600,0,6499,rmb,HKMA
2025-10-24,0,0,1000,3500,0,2000,4000,0,2000,11800,0,5000,rmb,HKMA
2025-10-23,1800,0,2000,3300,0,2000,3901,0,2000,4601,0,3000,rmb,HKMA
2025-10-22,0,0,1930,5000,0,2300,5800,0,7600,4100,0,7599,rmb,HKMA
2025-10-21,1100,0,1070,6565,0,5000,6850,0,5000,14300,0,7000,rmb,HKMA
2025-10-20,6500,0,4700,9500,0,5000,10350,0,5000,10300,0,5000,rmb,HKMA
2025-10-17,7000,0,4100,11600,0,5500,12100,0,6500,14200,0,6500,rmb,HKMA
2025-10-16,0,5,0,3500,5,2000,4950,0,2000,4950,0,2000,rmb,HKMA
2025-10-15,0,0,400,4500,0,2000,4500,0,2000,5200,0,2000,rmb,HKMA
2025-10-14,3100,0,3000,10155,0,5000,10155,0,7000,10455,0,7000,rmb,HKMA
2025-10-13,800,0,2000,300,0,50,1300,0,2700,1720,0,2000,rmb,HKMA
2025-10-10,2790,1500,4650,4900,1500,4950,13689,0,8100,20689,0,8100,rmb,HKMA
2025-10-09,0,0,260,8500,0,2000,8500,0,4000,14520,0,5600,rmb,HKMA
2025-10-08,0,0,0,600,0,0,600,0,0,600,0,260,rmb,HKMA
2025-10-06,0,0,0,0,0,0,500,0,0,500,0,0,rmb,HKMA
2025-10-03,0,0,0,500,0,0,500,0,0,500,0,0,rmb,HKMA
