code,name,short_shares,short_value,short_ratio_pct,date
1,長和,1278500,89516550,20.3,2026-06-15
2,中電控股,450000,32889075,17.5,2026-06-15
3,香港中華煤氣,7600000,51419570,22.3,2026-06-15
4,九龍倉集團,64000,1240600,5.8,2026-06-15
5,匯豐控股,2652000,385592640,13.9,2026-06-15
6,電能實業,462500,26141825,11.8,2026-06-15
8,電訊盈科,608000,3494880,9.5,2026-06-15
10,�痗弦偎峞@,40000,561050,16.7,2026-06-15
12,�痚穧a產,1490000,40569380,23.2,2026-06-15
13,和黃醫藥,472500,8113115,20.8,2026-06-15
1,長和,1370000,95916050,25.9,2026-06-16
2,中電控股,1295500,95397200,41.3,2026-06-16
3,香港中華煤氣,7681000,51437300,34.1,2026-06-16
4,九龍倉集團,182000,3448590,11.4,2026-06-16
5,匯豐控股,1590400,230641040,14.6,2026-06-16
6,電能實業,582000,33077050,17.5,2026-06-16
8,電訊盈科,1084000,6106970,11.9,2026-06-16
10,�痗弦偎峞@,48000,658300,14.3,2026-06-16
12,�痚穧a產,2045000,54826120,22.9,2026-06-16
13,和黃醫藥,673500,11195980,21.2,2026-06-16
1,長和,1932000,134691725,34.2,2026-06-17
2,中電控股,917500,67000525,32.8,2026-06-17
3,香港中華煤氣,10280000,68599380,34.7,2026-06-17
4,九龍倉集團,167000,3104630,11.6,2026-06-17
5,匯豐控股,2304000,340625480,11.5,2026-06-17
6,電能實業,599500,33726175,13.9,2026-06-17
8,電訊盈科,1143000,6423610,10.9,2026-06-17
10,�痗弦偎峞@,65000,874770,18.1,2026-06-17
12,�痚穧a產,2088000,55146080,39.0,2026-06-17
13,和黃醫藥,277000,4524460,10.1,2026-06-17
1,長和,3394000,234885950,25.4,2026-06-18
2,中電控股,3000500,218983650,46.0,2026-06-18
3,香港中華煤氣,35716000,240313590,53.0,2026-06-18
4,九龍倉集團,798000,14859690,18.4,2026-06-18
5,匯豐控股,3081200,458064680,11.0,2026-06-18
6,電能實業,1684500,94458875,26.9,2026-06-18
8,電訊盈科,625000,3458800,2.7,2026-06-18
10,�痗弦偎峞@,57000,747560,5.9,2026-06-18
12,�痚穧a產,3732000,96682260,29.2,2026-06-18
13,和黃醫藥,238000,3875325,6.2,2026-06-18
