date,rank,code,name_en,name_cn,high,low,turnover_hkd,volume_shares
2026-06-15,1,2800,TRACKER,FUND     盈富基金,25.44,25.18,13680366004,541694992
2026-06-15,2,700,TENCENT,騰訊控股,476.8,457.8,9161148874,19748938
2026-06-15,3,9988,BABA-W,阿里巴巴－Ｗ,113.2,108.0,9126968571,83179704
2026-06-15,4,3033,CSOP,HS TECH     南方�琤肮鴔煄@,4.696,4.644,8495773007,1820692593
2026-06-15,5,2513,KNOWLEDGE,ATLAS  智譜,1620.0,1261.0,8078110261,5528362
2026-06-15,6,7709,XL2CSOPHYNIX,ＸＬ二南方海力士,123.4,117.55,7927025244,66027054
2026-06-15,7,981,SMIC,中芯國際,76.95,72.65,7521190504,99265387
2026-06-15,8,2828,HSCEI,ETF        �琤秅什磪禶~,87.54,86.32,6861347278,79196528
2026-06-15,9,1888,KB,LAMINATES     建滔積層板,81.15,68.0,5606399699,73634331
2026-06-15,10,1347,HUA,HONG GRACE   華虹宏力,158.5,140.2,4984879934,32756624
2026-06-16,1,2800,TRACKER,FUND     盈富基金,25.22,24.76,15984825940,642345555
2026-06-16,2,700,TENCENT,騰訊控股,462.6,445.4,10927700960,24323142
2026-06-16,3,3033,CSOP,HS TECH     南方�琤肮鴔煄@,4.676,4.548,7647149564,1670985770
2026-06-16,4,9988,BABA-W,阿里巴巴－Ｗ,110.2,106.3,7418751148,69138026
2026-06-16,5,7709,XL2CSOPHYNIX,ＸＬ二南方海力士,130.6,123.0,7320556512,57353181
2026-06-16,6,1888,KB,LAMINATES     建滔積層板,88.0,78.0,6400830758,76409078
2026-06-16,7,981,SMIC,中芯國際,77.95,72.95,5588484275,74473870
2026-06-16,8,148,KINGBOARD,HLDG   建滔集團,104.8,95.8,4651333374,46828940
2026-06-16,9,2513,KNOWLEDGE,ATLAS  智譜,1650.0,1450.0,4542089126,2943721
2026-06-16,10,2828,HSCEI,ETF        �琤秅什磪禶~,86.54,84.74,4334240243,50876489
2026-06-17,1,1888,KB,LAMINATES     建滔積層板,91.8,81.0,25925586755,317873061
2026-06-17,2,2800,TRACKER,FUND     盈富基金,24.94,24.64,11097475653,448416540
2026-06-17,3,3033,CSOP,HS TECH     南方�琤肮鴔煄@,4.588,4.524,10427480876,2285637686
2026-06-17,4,7709,XL2CSOPHYNIX,ＸＬ二南方海力士,145.4,129.5,8954383997,64527354
2026-06-17,5,9988,BABA-W,阿里巴巴－Ｗ,108.4,105.8,7642795081,71467113
2026-06-17,6,700,TENCENT,騰訊控股,454.0,445.4,7594397837,16962334
2026-06-17,7,981,SMIC,中芯國際,76.5,72.4,7279235013,97501973
2026-06-17,8,148,KINGBOARD,HLDG   建滔集團,120.5,97.0,6409178648,56437613
2026-06-17,9,2513,KNOWLEDGE,ATLAS  智譜,1739.0,1375.0,6030137911,3824504
2026-06-17,10,2828,HSCEI,ETF        �琤秅什磪禶~,85.18,83.86,5311021852,63057400
2026-06-18,1,9988,BABA-W,阿里巴巴－Ｗ,106.0,102.4,16645497803,160333163
2026-06-18,2,981,SMIC,中芯國際,79.45,73.75,15559424914,203554119
2026-06-18,3,700,TENCENT,騰訊控股,446.2,435.6,13215630970,30119117
2026-06-18,4,7709,XL2CSOPHYNIX,ＸＬ二南方海力士,169.45,152.1,12990872508,80703358
2026-06-18,5,2513,KNOWLEDGE,ATLAS  智譜,2094.0,1721.0,9304442926,4916868
2026-06-18,6,2800,TRACKER,FUND     盈富基金,24.56,24.14,8924119963,367344427
2026-06-18,7,1888,KB,LAMINATES     建滔積層板,91.85,82.8,8789791555,100101932
2026-06-18,8,2828,HSCEI,ETF        �琤秅什磪禶~,84.02,81.8,7696919786,93438201
2026-06-18,9,1347,HUA,HONG GRACE   華虹宏力,177.7,156.2,7576726684,45524952
2026-06-18,10,148,KINGBOARD,HLDG   建滔集團,127.3,114.3,6074074816,49967457
