date,bull_shares,bear_shares,bull_pct,bear_pct,bull_bear_ratio,bull_value_hkd,bear_value_hkd,sentiment_score,sentiment_label
2026-05-04,50047100000,66962470000,42.8,57.2,0.75,2083978710,2677167730,42.8,中性
2026-05-05,60804060000,23993540000,71.7,28.3,2.53,2346967290,1131765000,71.7,偏貪婪
2026-05-06,44219980000,63098320000,41.2,58.8,0.7,1784027210,3217119100,41.2,中性
2026-05-07,74837650000,71326550000,51.2,48.8,1.05,3452407530,3042296750,51.2,中性
2026-05-08,72565080000,25733580000,73.8,26.2,2.82,2955544830,1324885260,73.8,偏貪婪
2026-05-11,88516030000,35533300000,71.4,28.6,2.49,3473787840,1958329690,71.4,偏貪婪
2026-05-12,53027420000,54561660000,49.3,50.7,0.97,2226316550,2454692520,49.3,中性
2026-05-13,62028490000,35814850000,63.4,36.6,1.73,2348752060,1799406240,63.4,中性
2026-05-14,54300860000,44585450000,54.9,45.1,1.22,2073981780,2452207270,54.9,中性
2026-05-15,76484620000,27183980000,73.8,26.2,2.81,2857886250,1366199950,73.8,偏貪婪
2026-05-18,89649150000,20546370000,81.4,18.6,4.36,3718511070,1406414870,81.4,偏貪婪
2026-05-19,55748220000,43282650000,56.3,43.7,1.29,2668881050,2891028300,56.3,中性
2026-05-20,92202450000,49845190000,64.9,35.1,1.85,3955438810,2599342440,64.9,中性
2026-05-21,62881930000,40074910000,61.1,38.9,1.57,2334985000,2053178740,61.1,中性
2026-05-22,35203460000,42731500000,45.2,54.8,0.82,1347534880,2440470280,45.2,中性
2026-05-26,62360550000,52069800000,54.5,45.5,1.2,2485831560,2530177430,54.5,中性
2026-05-27,91925620000,30187710000,75.3,24.7,3.05,3581611750,1455704840,75.3,偏貪婪
2026-05-28,134582600000,13543460000,90.9,9.1,9.94,5306558040,774210080,90.9,極度貪婪
2026-05-29,72887790000,63673200000,53.4,46.6,1.14,3806981490,3227863780,53.4,中性
2026-06-01,48043980000,68805100000,41.1,58.9,0.7,2147192430,2897115130,41.1,中性
2026-06-02,47402650000,71245910000,40.0,60.0,0.67,2030603330,3063097970,40.0,偏恐懼
2026-06-03,53876390000,53354250000,50.2,49.8,1.01,2959354860,2615997170,50.2,中性
2026-06-04,110557590000,20281770000,84.5,15.5,5.45,4467660830,980314420,84.5,偏貪婪
2026-06-05,58292660000,45218360000,56.3,43.7,1.29,2431421140,2107127550,56.3,中性
2026-06-08,118990570000,0,100.0,0.0,999.0,4637926680,0,100.0,極度貪婪
2026-06-09,53969580000,29791000000,64.4,35.6,1.81,2302671480,2514227790,64.4,中性
2026-06-10,89359590000,27697150000,76.3,23.7,3.23,3746223480,1841851530,76.3,偏貪婪
2026-06-11,95505590000,37084520000,72.0,28.0,2.58,3808747870,1378057070,72.0,偏貪婪
2026-06-12,25754850000,112066180000,18.7,81.3,0.23,1112903440,4467198480,18.7,極度恐懼
2026-06-15,53752570000,79159490000,40.4,59.6,0.68,2741591560,3338897230,40.4,中性
2026-06-16,124093510000,10058670000,92.5,7.5,12.34,5133737070,567403210,92.5,極度貪婪
2026-06-17,104827250000,21994020000,82.7,17.3,4.77,4191069160,980209250,82.7,偏貪婪
2026-06-18,111627210000,7196010000,93.9,6.1,15.51,4257029540,504789460,93.9,極度貪婪
