symbol,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,alpha
0992.HK,3.082,0.147,-0.064,0.857,7,5.311,0.893,-2.229
0005.HK,1.831,0.032,-0.03,0.714,7,1.349,0.042,0.482
9618.HK,-0.074,-0.009,-0.093,0.286,7,-1.677,-0.085,1.603
0700.HK,-1.604,-0.074,-0.094,0.286,7,-1.348,-0.067,-0.256
3988.HK,-3.684,-0.052,-0.074,0.429,7,1.214,0.025,-4.898
1398.HK,-3.777,-0.052,-0.067,0.286,7,-0.81,-0.02,-2.967
0883.HK,-3.818,-0.079,-0.106,0.429,7,-4.871,-0.153,1.054
0288.HK,-4.042,-0.047,-0.055,0.286,7,-3.805,-0.1,-0.237
1299.HK,-4.05,-0.123,-0.142,0.143,7,-4.993,-0.173,0.944
1810.HK,-4.676,-0.102,-0.11,0.143,7,-7.049,-0.21,2.372
0939.HK,-5.67,-0.068,-0.081,0.286,7,-1.422,-0.029,-4.249
0388.HK,-5.681,-0.088,-0.089,0.0,7,-6.193,-0.122,0.512
2318.HK,-10.633,-0.118,-0.118,0.0,7,-9.722,-0.184,-0.911
