date,southbound_total_mil,southbound_buy_mil,southbound_sell_mil,southbound_net_mil,sh_southbound_mil,sz_southbound_mil
2026-05-19,117988.67000000001,59627.15,58361.520000000004,1265.630000000001,79564.16,38424.51
2026-05-20,115608.1,60658.100000000006,54950.0,5708.100000000002,76829.36,38778.74
2026-05-21,135308.81,64601.91,70706.9,-6104.989999999994,88679.61,46629.2
2026-05-22,121299.39,57402.87,63896.52,-6493.649999999994,77348.22,43951.17
2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,157439.41999999998,78235.88,79203.54000000001,-967.6599999999999,99126.12,58313.3
2026-05-27,135434.88,63858.72,71576.16,-7717.440000000002,84231.91,51202.97
2026-05-28,149865.48,78737.12,71128.36,7608.760000000006,95131.1,54734.38
2026-05-29,155994.86,78939.46,77055.4,1884.060000000005,97749.18,58245.68
2026-06-01,132858.89,68758.1,64100.79,4657.309999999998,80517.21,52341.68
2026-06-02,151843.4,77033.3,74810.1,2223.2000000000007,96855.06,54988.34
2026-06-03,145529.47,82105.72,63423.75,18681.97,93399.28,52130.19
2026-06-04,108553.33,54119.2,54434.130000000005,-314.9300000000003,68752.08,39801.25
2026-06-05,126143.44999999998,61858.509999999995,64284.94,-2426.430000000004,76938.43,49205.02
2026-06-08,123417.62,67367.76,56049.86,11317.899999999998,74724.83,48692.79
2026-06-09,129719.89,60553.04000000001,69166.85,-8613.809999999998,79209.2,50510.69
2026-06-10,125074.72,66659.02,58415.7,8243.320000000003,78040.91,47033.81
2026-06-11,105957.97,51601.83,54356.14,-2754.3099999999977,64760.46,41197.51
2026-06-12,124424.78,60241.240000000005,64183.54,-3942.2999999999993,65547.42,58877.36
2026-06-15,117349.26,59729.61,57619.65,2109.959999999999,69536.29,47812.97
2026-06-16,110736.96,57099.990000000005,53636.97,3463.020000000004,68683.57,42053.39
2026-06-17,117669.88999999998,57224.130000000005,60445.759999999995,-3221.6299999999937,72070.68,45599.21
2026-06-18,144893.0,69051.0,75842.0,-6791.0,90827.0,54066.0
