date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2014-11-17,1,北向_滬股通,12082.33,12082.33,,12082.33,13000.0,,12082.33
2014-11-17,2,南向_港股通滬,2132.08,2238.11,106.03,2344.14,-8732.0,8732.0,2132.08
2014-11-17,5,合計,12082.33,12082.33,,12082.33,13000.0,,12082.33
2014-11-17,6,006,2132.08,2238.11,106.03,2344.14,-8732.0,8732.0,2132.08
2014-11-18,1,北向_滬股通,4719.67,4943.67,224.0,5167.67,4845.0,8155.0,16802.0
2014-11-18,2,南向_港股通滬,937.16,1083.11,145.95,1229.06,-9700.0,9700.0,3069.24
2014-11-18,5,合計,4719.67,4943.67,224.0,5167.67,4845.0,8155.0,16802.0
2014-11-18,6,006,937.16,1083.11,145.95,1229.06,-9700.0,9700.0,3069.24
2014-11-19,1,北向_滬股通,2496.77,2669.51,172.74,2842.25,2612.0,10388.0,19298.77
2014-11-19,2,南向_港股通滬,265.92,380.92,115.0,495.92,-10247.0,10247.0,3335.16
2014-11-19,5,合計,2496.77,2669.51,172.74,2842.25,2612.0,10388.0,19298.77
2014-11-19,6,006,265.92,380.92,115.0,495.92,-10247.0,10247.0,3335.16
2014-11-20,1,北向_滬股通,2141.94,2309.73,167.79,2477.52,2276.0,10724.0,21440.71
2014-11-20,2,南向_港股通滬,187.36,281.5,94.14,375.64,-10304.0,10304.0,3522.52
2014-11-20,5,合計,2141.94,2309.73,167.79,2477.52,2276.0,10724.0,21440.71
2014-11-20,6,006,187.36,281.5,94.14,375.64,-10304.0,10304.0,3522.52
2014-11-21,1,北向_滬股通,2199.53,2430.55,231.02,2661.57,2341.0,10659.0,23640.24
2014-11-21,2,南向_港股通滬,174.53,308.67,134.14,442.81,-10314.0,10314.0,3697.05
2014-11-21,5,合計,2199.53,2430.55,231.02,2661.57,2341.0,10659.0,23640.24
2014-11-21,6,006,174.53,308.67,134.14,442.81,-10314.0,10314.0,3697.05
2014-11-24,1,北向_滬股通,5856.47,6139.22,282.75,6421.97,6956.0,6044.0,29496.71
2014-11-24,2,南向_港股通滬,123.75,373.68,249.93,623.61,-10359.0,10359.0,3820.8
2014-11-24,5,合計,5856.47,6139.22,282.75,6421.97,6956.0,6044.0,29496.71
2014-11-24,6,006,123.75,373.68,249.93,623.61,-10359.0,10359.0,3820.8
2014-11-25,1,北向_滬股通,2750.03,3132.21,382.18,3514.39,2853.0,10147.0,32246.74
2014-11-25,2,南向_港股通滬,158.9,319.79,160.89,480.68,-10345.0,10345.0,3979.7
2014-11-25,5,合計,2750.03,3132.21,382.18,3514.39,2853.0,10147.0,32246.74
2014-11-25,6,006,158.9,319.79,160.89,480.68,-10345.0,10345.0,3979.7
2014-11-26,1,北向_滬股通,3192.61,3515.21,322.6,3837.81,3295.0,9705.0,35439.35
2014-11-26,2,南向_港股通滬,199.81,336.09,136.28,472.37,-10287.0,10287.0,4179.51
2014-11-26,5,合計,3192.61,3515.21,322.6,3837.81,3295.0,9705.0,35439.35
2014-11-26,6,006,199.81,336.09,136.28,472.37,-10287.0,10287.0,4179.51
2014-11-27,1,北向_滬股通,2868.66,3335.04,466.38,3801.42,2990.0,10010.0,38308.01
2014-11-27,2,南向_港股通滬,155.69,329.46,173.77,503.23,-10325.0,10325.0,4335.2
2014-11-27,5,合計,2868.66,3335.04,466.38,3801.42,2990.0,10010.0,38308.01
2014-11-27,6,006,155.69,329.46,173.77,503.23,-10325.0,10325.0,4335.2
2014-11-28,1,北向_滬股通,2246.22,3014.24,768.02,3782.26,2345.0,10655.0,40554.23
2014-11-28,2,南向_港股通滬,293.49,463.15,169.66,632.81,-10207.0,10207.0,4628.69
2014-11-28,5,合計,2246.22,3014.24,768.02,3782.26,2345.0,10655.0,40554.23
2014-11-28,6,006,293.49,463.15,169.66,632.81,-10207.0,10207.0,4628.69
2014-12-01,1,北向_滬股通,1317.82,3787.62,2469.8,6257.42,1398.0,11602.0,41872.05
2014-12-01,2,南向_港股通滬,296.01,467.13,171.12,638.25,-10219.0,10219.0,4924.7
2014-12-01,5,合計,1317.82,3787.62,2469.8,6257.42,1398.0,11602.0,41872.05
2014-12-01,6,006,296.01,467.13,171.12,638.25,-10219.0,10219.0,4924.7
2014-12-02,1,北向_滬股通,3115.33,4214.25,1098.92,5313.17,3311.0,9689.0,44987.38
2014-12-02,2,南向_港股通滬,288.99,468.51,179.52,648.03,-10201.0,10201.0,5213.69
2014-12-02,5,合計,3115.33,4214.25,1098.92,5313.17,3311.0,9689.0,44987.38
2014-12-02,6,006,288.99,468.51,179.52,648.03,-10201.0,10201.0,5213.69
2014-12-03,1,北向_滬股通,3684.9,6049.58,2364.68,8414.26,3861.0,9139.0,48672.28
2014-12-03,2,南向_港股通滬,495.91,701.19,205.28,906.47,-10043.0,10043.0,5709.6
2014-12-03,5,合計,3684.9,6049.58,2364.68,8414.26,3861.0,9139.0,48672.28
2014-12-03,6,006,495.91,701.19,205.28,906.47,-10043.0,10043.0,5709.6
2014-12-04,1,北向_滬股通,3358.98,4627.54,1268.56,5896.1,3521.0,9479.0,52031.26
2014-12-04,2,南向_港股通滬,408.36,665.2,256.84,922.04,-10085.0,10085.0,6117.96
2014-12-04,5,合計,3358.98,4627.54,1268.56,5896.1,3521.0,9479.0,52031.26
2014-12-04,6,006,408.36,665.2,256.84,922.04,-10085.0,10085.0,6117.96
2014-12-05,1,北向_滬股通,2449.57,5984.29,3534.72,9519.01,2567.0,10433.0,54480.83
2014-12-05,2,南向_港股通滬,1650.97,2091.7,440.73,2532.43,-9069.0,9069.0,7768.93
2014-12-05,5,合計,2449.57,5984.29,3534.72,9519.01,2567.0,10433.0,54480.83
2014-12-05,6,006,1650.97,2091.7,440.73,2532.43,-9069.0,9069.0,7768.93
2014-12-08,1,北向_滬股通,1415.99,4816.88,3400.89,8217.77,1677.0,11323.0,55896.82
