date,southbound_total_mil,southbound_buy_mil,southbound_sell_mil,southbound_net_mil,sh_southbound_mil,sz_southbound_mil
2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,143605.52000000002,81164.22,62441.3,18722.92,87137.55,56467.97
2026-01-06,133352.94,68115.76,65237.18,2878.579999999998,81029.0,52323.94
2026-01-07,134393.46,71785.9,62607.56,9178.34,80488.94,53904.52
2026-01-08,117905.96,56502.52,61403.44,-4900.919999999995,70890.97,47014.99
2026-01-09,111389.22,59102.22,52287.0,6815.2199999999975,67084.2,44305.02
2026-01-12,147493.82,77399.85,70093.97,7305.879999999997,86412.72,61081.1
2026-01-13,137347.84,69322.13,68025.70999999999,1296.4199999999985,82492.71,54855.13
2026-01-14,160615.78,81740.58,78875.20000000001,2865.3799999999974,102186.88,58428.9
2026-01-15,119834.23,59159.43,60674.8,-1515.3700000000026,74696.84,45137.39
2026-01-16,110939.58,55516.58,55423.0,93.57999999999812,69565.24,41374.34
2026-01-19,100899.0,51595.26,49303.740000000005,2291.5200000000004,61786.38,39112.62
2026-01-20,97282.9,50472.74,46810.16,3662.579999999998,59479.17,37803.73
2026-01-21,108996.62,61463.32,47533.3,13930.02,68511.28,40485.34
2026-01-22,93159.02,49199.2,43959.82,5239.379999999997,56655.57,36503.45
2026-01-23,104315.16,51357.240000000005,52957.92,-1600.6800000000003,65284.85,39030.31
2026-01-26,114534.92,56854.71,57680.21,-825.5,70978.34,43556.58
2026-01-27,102206.73,50786.100000000006,51420.630000000005,-634.5299999999988,62626.53,39580.2
2026-01-28,137844.78999999998,67208.7,70636.09,-3427.3900000000067,88289.76,49555.03
2026-01-29,132482.71000000002,68428.16,64054.55,4373.610000000001,82582.27,49900.44
2026-01-30,116489.35,59855.45,56633.9,3221.55,72894.41,43594.94
2026-02-02,138285.06,70096.1,68188.95999999999,1907.140000000003,84789.51,53495.55
2026-02-03,126399.61,63675.92,62723.69,952.2300000000032,76318.04,50081.57
2026-02-04,114074.99,63723.88,50351.11,13372.769999999997,66750.39,47324.6
2026-02-05,113410.39,69193.93000000001,44216.46000000001,24977.47,65679.11,47731.28
2026-02-06,88416.38,51637.77,36778.61,14859.159999999998,54008.76,34407.62
2026-02-09,100432.45,49272.97,51159.48,-1886.510000000002,59366.72,41065.73
2026-02-11,90782.34,47799.26,42983.08,4816.18,54390.31,36392.03
2026-02-12,94776.7,49671.98,45104.72,4567.259999999998,56932.68,37844.02
2026-02-13,100760.84,60489.990000000005,40270.85,20219.14,61165.86,39594.98
2026-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-18,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,108443.11,55786.95,52656.16,3130.790000000001,60404.17,48038.94
2026-02-25,92513.03,44228.17,48284.86,-4056.689999999999,53261.55,39251.48
2026-02-26,99928.51,46281.28,53647.23,-7365.949999999997,57916.25,42012.26
2026-02-27,93485.91,54241.53999999999,39244.37,14997.169999999998,58529.63,34956.28
2026-03-02,154740.84,85477.32,69263.52,16213.8,94257.47,60483.37
2026-03-03,179030.88,92556.06,86474.82,6081.239999999998,116655.59,62375.29
2026-03-04,142126.07,70830.01999999999,71296.05,-466.0300000000061,89251.46,52874.61
2026-03-05,150556.95,61411.08,89145.87,-27734.79,96274.23,54282.72
2026-03-06,118502.14,58157.13,60345.01,-2187.880000000001,67399.49,51102.65
2026-03-09,169810.41999999998,103511.72,66298.7,37213.02,107865.28,61945.14
2026-03-10,151827.83000000002,66937.54,84890.29,-17952.75,97198.16,54629.67
2026-03-11,116027.96,59738.18000000001,56289.78,3448.400000000005,72777.15,43250.81
2026-03-12,113466.57,62374.62,51091.95,11282.670000000006,72658.89,40807.68
2026-03-13,116295.22,67371.86,48923.36,18448.5,75263.86,41031.36
2026-03-16,112007.76,55379.01,56628.75,-1249.739999999998,69731.89,42275.87
2026-03-17,130071.5,59295.42,70776.08,-11480.660000000003,83421.54,46649.96
2026-03-18,103719.33000000002,52467.93,51251.4,1216.5299999999988,65817.6,37901.73
2026-03-19,154828.84,90509.43,64319.41,26190.02,97840.56,56988.28
2026-03-20,139271.49,59133.22,80138.27,-21005.050000000003,90109.93,49161.56
2026-03-23,167638.47999999998,98683.2,68955.28,29727.92,102755.42,64883.06
2026-03-24,143752.34,58195.73,85556.61,-27360.88,86783.66,56968.68
2026-03-25,165556.2,93939.38,71616.81999999999,22322.56000000001,103942.11,61614.09
2026-03-26,117154.75,60247.27,56907.48,3339.789999999997,70683.51,46471.24
2026-03-27,101044.34,49080.49,51963.85,-2883.3600000000006,64506.9,36537.44
2026-03-30,121013.42,59273.34,61740.08,-2466.7400000000016,71078.98,49934.44
2026-03-31,108908.92,54806.13,54102.79,703.3399999999965,65140.99,43767.93
