date,Unnamed: 0,end_of_day,efb_7d,efb_30d,efb_91d,efb_182d,efb_273d,efb_364d,efn_2y,efn_3y,efn_4y,efn_5y,efn_7y,efn_10y,efn_15y
2002-01-02,2609.0,2002-01-02,1.85,1.66,1.67,1.74,,2.13,3.3,4.15,,5.16,5.55,6.12,
2002-01-03,2610.0,2002-01-03,1.78,1.67,1.67,1.74,,2.18,3.37,4.24,,5.26,5.65,6.2,
2002-01-04,2611.0,2002-01-04,1.67,1.64,1.64,1.68,,2.1,3.21,4.07,,5.1,5.51,6.04,
2002-01-05,2611.0,,1.67,1.64,1.64,1.68,,2.1,3.21,4.07,,5.1,5.51,6.04,
2002-01-06,2611.0,,1.67,1.64,1.64,1.68,,2.1,3.21,4.07,,5.1,5.51,6.04,
2002-01-07,2612.0,2002-01-07,1.6,1.59,1.59,1.64,,2.05,3.1,3.99,,5.02,5.43,5.97,
2002-01-08,2613.0,2002-01-08,1.56,1.54,1.55,1.6,,2.0,3.02,3.89,,4.93,5.36,5.9,
2002-01-09,2614.0,2002-01-09,1.84,1.65,1.62,1.72,,2.1,3.09,3.98,,5.03,5.45,6.01,
2002-01-10,2615.0,2002-01-10,1.62,1.61,1.6,1.7,,2.06,3.06,3.97,,5.02,5.45,6.02,
2002-01-11,2616.0,2002-01-11,1.61,1.59,1.57,1.67,,2.04,2.97,3.85,,4.9,5.32,5.91,
2002-01-12,2616.0,,1.61,1.59,1.57,1.67,,2.04,2.97,3.85,,4.9,5.32,5.91,
2002-01-13,2616.0,,1.61,1.59,1.57,1.67,,2.04,2.97,3.85,,4.9,5.32,5.91,
2002-01-14,2617.0,2002-01-14,1.62,1.55,1.53,1.6,,1.88,2.76,3.62,,4.77,5.22,5.81,
2002-01-15,2618.0,2002-01-15,1.56,1.49,1.49,1.57,,1.89,2.85,3.7,,4.84,5.29,5.9,
2002-01-16,2619.0,2002-01-16,1.57,1.49,1.47,1.55,,1.92,2.8,3.67,,4.8,5.24,5.85,
2002-01-17,2620.0,2002-01-17,1.53,1.48,1.48,1.55,,1.94,2.87,3.72,,4.84,5.25,5.85,
2002-01-18,2621.0,2002-01-18,1.6,1.54,1.53,1.62,,2.05,3.02,3.83,,4.98,5.38,5.98,
2002-01-19,2621.0,,1.6,1.54,1.53,1.62,,2.05,3.02,3.83,,4.98,5.38,5.98,
2002-01-20,2621.0,,1.6,1.54,1.53,1.62,,2.05,3.02,3.83,,4.98,5.38,5.98,
2002-01-21,2622.0,2002-01-21,1.65,1.58,1.56,1.63,,2.06,3.01,3.84,,4.92,5.32,5.91,
2002-01-22,2623.0,2002-01-22,1.62,1.59,1.58,1.65,,2.09,3.07,3.88,,4.92,5.35,5.93,
2002-01-23,2624.0,2002-01-23,1.61,1.6,1.6,1.69,,2.11,3.08,3.9,,4.96,5.37,5.92,
2002-01-24,2625.0,2002-01-24,1.65,1.63,1.62,1.72,,2.17,3.15,3.95,,5.04,5.45,6.01,
2002-01-25,2626.0,2002-01-25,1.67,1.68,1.68,1.78,,2.24,3.25,4.26,,5.09,5.49,6.04,
2002-01-26,2626.0,,1.67,1.68,1.68,1.78,,2.24,3.25,4.26,,5.09,5.49,6.04,
2002-01-27,2626.0,,1.67,1.68,1.68,1.78,,2.24,3.25,4.26,,5.09,5.49,6.04,
2002-01-28,2627.0,2002-01-28,1.65,1.66,1.66,1.77,,2.23,3.2,4.25,,5.13,5.52,6.06,
2002-01-29,2628.0,2002-01-29,1.64,1.65,1.66,1.76,,2.22,3.18,4.23,,5.12,5.52,6.05,
2002-01-30,2629.0,2002-01-30,1.63,1.63,1.63,1.73,,2.17,3.08,4.14,,5.05,5.45,5.97,
2002-01-31,2630.0,2002-01-31,1.67,1.66,1.67,1.78,,2.24,3.2,4.25,,5.15,5.56,6.07,
2002-02-01,2631.0,2002-02-01,1.64,1.66,1.68,1.8,,2.27,3.23,4.27,,5.15,5.55,6.05,
2002-02-02,2631.0,,1.64,1.66,1.68,1.8,,2.27,3.23,4.27,,5.15,5.55,6.05,
2002-02-03,2631.0,,1.64,1.66,1.68,1.8,,2.27,3.23,4.27,,5.15,5.55,6.05,
2002-02-04,2632.0,2002-02-04,1.62,1.62,1.63,1.63,,2.2,3.12,4.18,,5.08,5.47,5.99,
2002-02-05,2633.0,2002-02-05,1.59,1.59,1.59,1.7,,2.12,3.05,4.05,,4.97,5.38,5.91,
2002-02-06,2634.0,2002-02-06,1.64,1.64,1.64,1.75,,2.15,3.06,4.07,,5.01,5.44,5.96,
2002-02-07,2635.0,2002-02-07,1.67,1.65,1.66,1.75,,2.15,3.04,4.05,,5.0,5.43,5.96,
2002-02-08,2636.0,2002-02-08,1.69,1.68,1.68,1.78,,2.18,3.06,4.06,,5.03,5.46,6.0,
2002-02-09,2636.0,,1.69,1.68,1.68,1.78,,2.18,3.06,4.06,,5.03,5.46,6.0,
2002-02-10,2636.0,,1.69,1.68,1.68,1.78,,2.18,3.06,4.06,,5.03,5.46,6.0,
2002-02-11,2637.0,2002-02-11,1.66,1.67,1.67,1.77,,2.16,3.27,4.01,,5.0,5.42,5.97,
2002-02-12,2637.0,,1.66,1.67,1.67,1.77,,2.16,3.27,4.01,,5.0,5.42,5.97,
2002-02-13,2637.0,,1.66,1.67,1.67,1.77,,2.16,3.27,4.01,,5.0,5.42,5.97,
2002-02-14,2637.0,,1.66,1.67,1.67,1.77,,2.16,3.27,4.01,,5.0,5.42,5.97,
2002-02-15,2638.0,2002-02-15,1.67,1.66,1.67,1.77,,2.25,3.33,4.06,,4.98,5.42,5.96,
2002-02-16,2638.0,,1.67,1.66,1.67,1.77,,2.25,3.33,4.06,,4.98,5.42,5.96,
2002-02-17,2638.0,,1.67,1.66,1.67,1.77,,2.25,3.33,4.06,,4.98,5.42,5.96,
2002-02-18,2639.0,2002-02-18,1.67,1.66,1.66,1.74,,2.2,3.23,3.95,,4.89,5.32,5.86,
2002-02-19,2640.0,2002-02-19,1.7,1.67,1.67,1.76,,2.24,3.26,3.98,,4.9,5.33,5.87,
2002-02-20,2641.0,2002-02-20,1.78,1.7,1.68,1.77,,2.24,3.22,3.94,,4.89,5.33,5.86,
2002-02-21,2642.0,2002-02-21,1.83,1.73,1.7,1.8,,2.27,3.24,3.96,,4.9,5.34,5.87,
2002-02-22,2643.0,2002-02-22,1.91,1.76,1.75,1.81,,2.27,3.24,3.96,,4.89,5.33,5.85,
2002-02-23,2643.0,,1.91,1.76,1.75,1.81,,2.27,3.24,3.96,,4.89,5.33,5.85,
2002-02-24,2643.0,,1.91,1.76,1.75,1.81,,2.27,3.24,3.96,,4.89,5.33,5.85,
2002-02-25,2644.0,2002-02-25,1.89,1.77,1.76,1.81,,2.26,3.18,3.89,,4.84,5.29,5.81,
2002-02-26,2645.0,2002-02-26,1.91,1.8,1.77,1.81,,2.25,3.22,3.92,,4.82,5.26,5.79,
2002-02-27,2646.0,2002-02-27,1.97,1.84,1.81,1.85,,2.29,3.31,4.0,,4.88,5.33,5.87,
2002-02-28,2647.0,2002-02-28,2.0,1.82,1.79,1.83,,2.22,3.2,3.89,,4.77,5.2,5.75,
2002-03-01,2648.0,2002-03-01,1.86,1.77,1.75,1.8,,2.24,3.25,3.93,,4.78,5.2,5.75,
2002-03-02,2648.0,,1.86,1.77,1.75,1.8,,2.24,3.25,3.93,,4.78,5.2,5.75,
2002-03-03,2648.0,,1.86,1.77,1.75,1.8,,2.24,3.25,3.93,,4.78,5.2,5.75,
2002-03-04,2649.0,2002-03-04,1.83,1.8,1.8,1.86,,2.33,3.38,4.06,,4.89,5.52,5.85,
2002-03-05,2650.0,2002-03-05,1.79,1.77,1.78,1.88,,2.32,3.39,4.06,,4.88,5.5,5.84,
2002-03-06,2651.0,2002-03-06,1.84,1.79,1.79,1.89,,2.32,3.39,4.06,,4.89,5.51,5.86,
2002-03-07,2652.0,2002-03-07,1.78,1.8,1.82,1.93,,2.36,3.45,4.12,,4.96,5.58,5.94,
2002-03-08,2653.0,2002-03-08,1.75,1.83,1.88,2.05,,2.57,3.71,4.37,,5.21,5.83,6.17,
2002-03-09,2653.0,,1.75,1.83,1.88,2.05,,2.57,3.71,4.37,,5.21,5.83,6.17,
