date,Unnamed: 0,end_of_day,usd,gbp,jpy,cad,aud,sgd,twd,chf,cny,krw,thb,myr,dem,nlg,bef,frf,itl,eur,php,inr,idr,zar,special_drawing_rights,neeri_1983_trade_wgt,neeri_1983_import_wgt,neeri_1983_export_wgt,neeri_2000_trade_wgt,neeri_2000_import_wgt,neeri_2000_export_wgt,neeri_2010_trade_wgt,neeri_2010_import_wgt,neeri_2010_export_wgt,neeri_2020_trade_wgt,neeri_2020_import_wgt,neeri_2020_export_wgt
2002-01-02,2963.0,2002-01-02,7.797,11.3365,0.059305,4.902,3.9865,4.2145,0.226,4.696,0.943,0.005917,0.1764,2.04,,,,,,6.966,0.1585,,,,9.8468313,,,,105.9,106.7,105.0,,,,,,
2002-01-03,2964.0,2002-01-03,7.797,11.2765,0.059255,4.894,4.0155,4.2165,0.226,4.7335,0.943,0.005933,0.177,2.04,,,,,,7.044,0.1585,,,,9.85244514,,,,105.8,106.6,104.9,,,,,,
2002-01-04,2965.0,2002-01-04,7.797,11.2495,0.059415,4.884,4.01,4.2225,0.226,4.732,0.943,0.00596,0.1774,2.04,,,,,,6.9985,0.1585,,,,9.82843038,,,,105.8,106.6,105.0,,,,,,
2002-01-05,2966.0,2002-01-05,7.796,11.2815,0.059505,4.888,4.0435,4.229,0.226,4.7155,0.943,0.0059675,0.1776,2.04,,,,,,6.9815,0.1585,,,,9.82843038,,,,105.8,106.6,104.9,,,,,,
2002-01-06,2966.0,,7.796,11.2815,0.059505,4.888,4.0435,4.229,0.226,4.7155,0.943,0.0059675,0.1776,2.04,,,,,,6.9815,0.1585,,,,9.82843038,,,,105.8,106.6,104.9,,,,,,
2002-01-07,2967.0,2002-01-07,7.797,11.2735,0.059685,4.891,4.0425,4.2365,0.226,4.742,0.943,0.005983,0.1782,2.04,,,,,,7.004,0.1585,,,,9.79521516,,,,105.7,106.5,104.9,,,,,,
2002-01-08,2968.0,2002-01-08,7.798,11.2435,0.058855,4.871,4.05,4.2175,0.227,4.728,0.943,0.0059515,0.1772,2.04,,,,,,6.9635,0.1585,,,,9.79366416,,,,105.9,106.7,105.1,,,,,,
2002-01-09,2969.0,2002-01-09,7.798,11.222,0.058805,4.89,4.0805,4.2175,0.227,4.7095,0.943,0.0059495,0.1768,2.04,,,,,,6.96,0.1585,,,,9.8079345,,,,105.9,106.7,105.1,,,,,,
2002-01-10,2970.0,2002-01-10,7.798,11.2355,0.05899,4.881,4.0995,4.2325,0.227,4.708,0.943,0.0059445,0.177,2.04,,,,,,6.959,0.1585,,,,9.8083244,,,,105.9,106.7,105.0,,,,,,
2002-01-11,2971.0,2002-01-11,7.797,11.2515,0.058955,4.88,4.069,4.2315,0.227,4.692,0.943,0.0059345,0.1772,2.04,,,,,,6.957,0.1585,,,,9.80847006,,,,105.9,106.7,105.1,,,,,,
2002-01-12,2972.0,2002-01-12,7.797,11.287,0.058965,4.8855,4.061,4.233,0.227,4.709,0.943,0.005935,0.1772,2.04,,,,,,6.959,0.1585,,,,9.80847006,,,,105.9,106.7,105.0,,,,,,
2002-01-13,2972.0,,7.797,11.287,0.058965,4.8855,4.061,4.233,0.227,4.709,0.943,0.005935,0.1772,2.04,,,,,,6.959,0.1585,,,,9.80847006,,,,105.9,106.7,105.0,,,,,,
2002-01-14,2973.0,2002-01-14,7.798,11.3025,0.059145,4.888,4.046,4.2435,0.227,4.7165,0.943,0.005935,0.17785,2.04,,,,,,6.979,0.1585,,,,9.82150302,,,,105.8,106.6,105.0,,,,,,
2002-01-15,2974.0,2002-01-15,7.798,11.2955,0.059425,4.8965,4.043,4.26,0.227,4.707,0.943,0.005921,0.17785,2.04,,,,,,6.965,0.1585,,,,9.82134706,,,,105.8,106.6,105.0,,,,,,
2002-01-16,2975.0,2002-01-16,7.798,11.2355,0.059385,4.909,4.031,4.2635,0.227,4.683,0.943,0.005927,0.17785,2.04,,,,,,6.893,0.1585,,,,9.77565078,,,,105.9,106.6,105.1,,,,,,
2002-01-17,2976.0,2002-01-17,7.799,11.1965,0.059125,4.879,4.002,4.2605,0.227,4.6905,0.943,0.005919,0.17785,2.04,,,,,,6.885,0.1585,,,,9.76871544,,,,106.0,106.7,105.2,,,,,,
2002-01-18,2977.0,2002-01-18,7.799,11.2085,0.058685,4.839,4.0165,4.2465,0.227,4.679,0.943,0.005913,0.17765,2.04,,,,,,6.874,0.1585,,,,9.76239825,,,,106.1,106.9,105.3,,,,,,
2002-01-19,2978.0,2002-01-19,7.798,11.218,0.05879,4.844,4.026,4.252,0.227,4.696,0.943,0.0058975,0.1774,2.04,,,,,,6.909,0.1585,,,,9.76239825,,,,106.0,106.8,105.2,,,,,,
2002-01-20,2978.0,,7.798,11.218,0.05879,4.844,4.026,4.252,0.227,4.696,0.943,0.0058975,0.1774,2.04,,,,,,6.909,0.1585,,,,9.76239825,,,,106.0,106.8,105.2,,,,,,
2002-01-21,2979.0,2002-01-21,7.799,11.2135,0.05893,4.821,4.025,4.2545,0.227,4.6905,0.943,0.0059,0.17745,2.04,,,,,,6.9,0.1585,,,,9.77261494,,,,106.0,106.8,105.2,,,,,,
2002-01-22,2980.0,2002-01-22,7.799,11.1615,0.05835,4.839,4.049,4.2465,0.227,4.689,0.943,0.0058605,0.17705,2.04,,,,,,6.8865,0.1585,,,,9.75132367,,,,106.2,107.0,105.3,,,,,,
2002-01-23,2981.0,2002-01-23,7.798,11.1775,0.05827,4.843,4.059,4.2435,0.227,4.6955,0.943,0.0058555,0.1766,2.04,,,,,,6.918,0.1585,,,,9.7611465,,,,106.2,107.0,105.3,,,,,,
2002-01-24,2982.0,2002-01-24,7.798,11.1035,0.05801,4.871,4.04,4.239,0.227,4.667,0.943,0.0058555,0.1766,2.04,,,,,,6.849,0.1585,,,,9.71895932,,,,106.3,107.1,105.5,,,,,,
2002-01-25,2983.0,2002-01-25,7.799,11.101,0.05788,4.865,4.05,4.25,0.227,4.657,0.943,0.005879,0.17685,2.04,,,,,,6.84,0.1585,,,,9.67887096,,,,106.3,107.2,105.5,,,,,,
2002-01-26,2984.0,2002-01-26,7.798,10.988,0.057945,4.848,4.03,4.254,0.227,4.5795,0.943,0.00588,0.177,2.04,,,,,,6.749,0.1585,,,,9.67887096,,,,106.5,107.3,105.7,,,,,,
2002-01-27,2984.0,,7.798,10.988,0.057945,4.848,4.03,4.254,0.227,4.5795,0.943,0.00588,0.177,2.04,,,,,,6.749,0.1585,,,,9.67887096,,,,106.5,107.3,105.7,,,,,,
2002-01-28,2985.0,2002-01-28,7.8,10.9985,0.0583,4.844,4.034,4.252,0.227,4.574,0.943,0.005899,0.1773,2.04,,,,,,6.7445,0.1585,,,,9.660846,,,,106.4,107.2,105.7,,,,,,
2002-01-29,2986.0,2002-01-29,7.8,10.9885,0.05859,4.888,4.0155,4.2555,0.227,4.57,0.943,0.0059475,0.1775,2.04,,,,,,6.721,0.1585,,,,9.675042,,,,106.4,107.1,105.6,,,,,,
2002-01-30,2987.0,2002-01-30,7.8,11.03,0.058725,4.897,3.9795,4.2575,0.227,4.586,0.943,0.0059405,0.1773,2.04,,,,,,6.7445,0.1585,,,,9.70281,,,,106.3,107.0,105.6,,,,,,
2002-01-31,2988.0,2002-01-31,7.8,11.0285,0.058695,4.915,3.9615,4.26,0.227,4.563,0.943,0.0059425,0.1777,2.04,,,,,,6.721,0.1585,,,,9.687912,,,,106.4,107.1,105.6,,,,,,
2002-02-01,2989.0,2002-02-01,7.8,11.0025,0.05811,4.909,3.959,4.2435,0.227,4.53,0.943,0.005923,0.1771,2.04,,,,,,6.687,0.1585,,,,9.665994,,,,106.6,107.3,105.8,,,,,,
2002-02-02,2990.0,2002-02-02,7.8,11.055,0.05858,4.901,3.979,4.2555,0.227,4.548,0.943,0.0059365,0.1775,2.04,,,,,,6.725,0.1585,,,,9.665994,,,,106.4,107.1,105.6,,,,,,
2002-02-03,2990.0,,7.8,11.055,0.05858,4.901,3.979,4.2555,0.227,4.548,0.943,0.0059365,0.1775,2.04,,,,,,6.725,0.1585,,,,9.665994,,,,106.4,107.1,105.6,,,,,,
2002-02-04,2991.0,2002-02-04,7.8,11.0375,0.05846,4.896,3.9795,4.2555,0.227,4.55,0.943,0.00593,0.1775,2.04,,,,,,6.7205,0.1585,,,,9.685338,,,,106.4,107.1,105.7,,,,,,
2002-02-05,2992.0,2002-02-05,7.8,11.0985,0.058855,4.884,3.9935,4.2555,0.227,4.6,0.943,0.005916,0.1775,2.04,,,,,,6.79,0.1585,,,,9.71451,,,,106.2,107.0,105.5,,,,,,
2002-02-06,2993.0,2002-02-06,7.799,11.0245,0.0583,4.883,3.9735,4.2535,0.227,4.586,0.943,0.0059205,0.17745,2.04,,,,,,6.7555,0.1585,,,,9.69532685,,,,106.4,107.1,105.6,,,,,,
2002-02-07,2994.0,2002-02-07,7.8,11.0185,0.05824,4.856,3.964,4.26,0.228,4.593,0.945,0.005909,0.1777,2.04,,,,,,6.759,0.1585,,,,9.685962,,,,106.3,107.0,105.5,,,,,,
2002-02-08,2995.0,2002-02-08,7.799,11.027,0.058375,4.879,3.993,4.2615,0.228,4.615,0.945,0.0059135,0.17765,2.04,,,,,,6.801,0.1585,,,,9.70959902,,,,106.2,106.9,105.4,,,,,,
2002-02-09,2996.0,2002-02-09,7.798,11.035,0.057935,4.88,3.99,4.253,0.228,4.613,0.945,0.0059025,0.17765,2.04,,,,,,6.8035,0.1585,,,,9.70959902,,,,106.3,107.0,105.5,,,,,,
2002-02-10,2996.0,,7.798,11.035,0.057935,4.88,3.99,4.253,0.228,4.613,0.945,0.0059025,0.17765,2.04,,,,,,6.8035,0.1585,,,,9.70959902,,,,106.3,107.0,105.5,,,,,,
2002-02-11,2997.0,2002-02-11,7.8,11.044,0.05789,4.895,4.003,4.256,0.228,4.613,0.945,0.005902,0.1775,2.04,,,,,,6.813,0.1585,,,,9.725352,,,,106.3,107.0,105.4,,,,,,
2002-02-12,2997.0,,7.8,11.044,0.05789,4.895,4.003,4.256,0.228,4.613,0.945,0.005902,0.1775,2.04,,,,,,6.813,0.1585,,,,9.725352,,,,106.3,107.0,105.4,,,,,,
2002-02-13,2997.0,,7.8,11.044,0.05789,4.895,4.003,4.256,0.228,4.613,0.945,0.005902,0.1775,2.04,,,,,,6.813,0.1585,,,,9.725352,,,,106.3,107.0,105.4,,,,,,
2002-02-14,2997.0,,7.8,11.044,0.05789,4.895,4.003,4.256,0.228,4.613,0.945,0.005902,0.1775,2.04,,,,,,6.813,0.1585,,,,9.725352,,,,106.3,107.0,105.4,,,,,,
2002-02-15,2998.0,2002-02-15,7.799,11.147,0.05871,4.898,4.0305,4.276,0.227,4.591,0.945,0.005924,0.17925,2.04,,,,,,6.806,0.1585,,,,9.71770998,,,,106.1,106.8,105.3,,,,,,
2002-02-16,2999.0,2002-02-16,7.799,11.165,0.05881,4.906,4.023,4.276,0.227,4.598,0.945,0.005929,0.17885,2.04,,,,,,6.8085,0.1585,,,,9.71770998,,,,106.0,106.8,105.3,,,,,,
2002-02-17,2999.0,,7.799,11.165,0.05881,4.906,4.023,4.276,0.227,4.598,0.945,0.005929,0.17885,2.04,,,,,,6.8085,0.1585,,,,9.71770998,,,,106.0,106.8,105.3,,,,,,
2002-02-18,3000.0,2002-02-18,7.8,11.1745,0.0588,4.905,4.032,4.267,0.227,4.594,0.945,0.005929,0.1789,2.04,,,,,,6.8125,0.1585,,,,9.72543,,,,106.0,106.8,105.3,,,,,,
2002-02-19,3001.0,2002-02-19,7.8,11.1315,0.05845,4.895,4.0365,4.2645,0.227,4.5835,0.945,0.005913,0.1787,2.04,,,,,,6.786,0.1585,,,,9.70281,,,,106.2,106.9,105.4,,,,,,
2002-02-20,3002.0,2002-02-20,7.799,11.1575,0.05855,4.91,4.0375,4.271,0.227,4.624,0.945,0.0059025,0.17865,2.04,,,,,,6.84,0.1585,,,,9.73065632,,,,106.1,106.8,105.2,,,,,,
2002-02-21,3003.0,2002-02-21,7.8,11.1335,0.05838,4.908,4.024,4.268,0.227,4.585,0.945,0.005904,0.1781,2.04,,,,,,6.7845,0.1565,,,,9.713574,,,,106.2,107.0,105.4,,,,,,
