date,Unnamed: 0,end_of_day,ir_overnight,ir_1w,ir_1m,ir_3m,ir_6m,ir_9m,ir_12m
2002-01-02,1355.0,2002-01-02,,,2.0,2.0,2.0625,2.34152,2.64063
2002-01-03,1356.0,2002-01-03,,,2.0,2.00223,2.10938,2.38393,2.71205
2002-01-04,1357.0,2002-01-04,,,1.87054,1.9375,2.02679,2.29018,2.62054
2002-01-05,1357.0,,,,1.87054,1.9375,2.02679,2.29018,2.62054
2002-01-06,1357.0,,,,1.87054,1.9375,2.02679,2.29018,2.62054
2002-01-07,1358.0,2002-01-07,,,1.79018,1.87723,2.00446,2.27455,2.58705
2002-01-08,1359.0,2002-01-08,,,1.75223,1.84375,1.98438,2.22768,2.51116
2002-01-09,1360.0,2002-01-09,,,1.80804,1.87277,2.01786,2.26563,2.56027
2002-01-10,1361.0,2002-01-10,,,1.8125,1.86607,2.00446,2.25223,2.55357
2002-01-11,1362.0,2002-01-11,,,1.8125,1.85491,1.99777,2.23438,2.51563
2002-01-12,1362.0,,,,1.8125,1.85491,1.99777,2.23438,2.51563
2002-01-13,1362.0,,,,1.8125,1.85491,1.99777,2.23438,2.51563
2002-01-14,1363.0,2002-01-14,,,1.77232,1.79241,1.87054,2.0625,2.31027
2002-01-15,1364.0,2002-01-15,,,1.7433,1.75,1.85491,2.05134,2.30357
2002-01-16,1365.0,2002-01-16,,,1.69196,1.70313,1.83259,2.03348,2.28795
2002-01-17,1366.0,2002-01-17,,,1.69196,1.73214,1.83929,2.05357,2.31473
2002-01-18,1367.0,2002-01-18,,,1.85268,1.86384,1.9375,2.17188,2.45536
2002-01-19,1367.0,,,,1.85268,1.86384,1.9375,2.17188,2.45536
2002-01-20,1367.0,,,,1.85268,1.86384,1.9375,2.17188,2.45536
2002-01-21,1368.0,2002-01-21,,,1.8125,1.82813,1.93973,2.17634,2.45982
2002-01-22,1369.0,2002-01-22,,,1.8125,1.85268,1.94866,2.19866,2.47991
2002-01-23,1370.0,2002-01-23,,,1.81027,1.8683,2.0,2.22098,2.5067
2002-01-24,1371.0,2002-01-24,,,1.84598,1.91295,2.03348,2.25446,2.56696
2002-01-25,1372.0,2002-01-25,,,1.94866,1.99107,2.11607,2.34821,2.66295
2002-01-26,1372.0,,,,1.94866,1.99107,2.11607,2.34821,2.66295
2002-01-27,1372.0,,,,1.94866,1.99107,2.11607,2.34821,2.66295
2002-01-28,1373.0,2002-01-28,,,1.93527,1.98438,2.12277,2.35938,2.67188
2002-01-29,1374.0,2002-01-29,,,1.9375,1.99777,2.12277,2.35268,2.66741
2002-01-30,1375.0,2002-01-30,,,1.93527,1.98884,2.10491,2.32813,2.60268
2002-01-31,1376.0,2002-01-31,,,1.97991,2.0067,2.125,2.37277,2.65179
2002-02-01,1377.0,2002-02-01,,,1.95536,1.99777,2.16295,2.42188,2.72321
2002-02-02,1377.0,,,,1.95536,1.99777,2.16295,2.42188,2.72321
2002-02-03,1377.0,,,,1.95536,1.99777,2.16295,2.42188,2.72321
2002-02-04,1378.0,2002-02-04,,,1.88839,1.95536,2.12054,2.34598,2.6317
2002-02-05,1379.0,2002-02-05,,,1.86384,1.94196,2.07813,2.3058,2.57143
2002-02-06,1380.0,2002-02-06,,,1.88393,1.95759,2.09598,2.31696,2.58036
2002-02-07,1381.0,2002-02-07,,,1.93973,1.99554,2.12054,2.32589,2.59375
2002-02-08,1382.0,2002-02-08,,,1.95982,1.99777,2.125,2.34152,2.61384
2002-02-09,1382.0,,,,1.95982,1.99777,2.125,2.34152,2.61384
2002-02-10,1382.0,,,,1.95982,1.99777,2.125,2.34152,2.61384
2002-02-11,1383.0,2002-02-11,,,1.9442,1.99777,2.125,2.33259,2.60938
2002-02-12,1383.0,,,,1.9442,1.99777,2.125,2.33259,2.60938
2002-02-13,1383.0,,,,1.9442,1.99777,2.125,2.33259,2.60938
2002-02-14,1383.0,,,,1.9442,1.99777,2.125,2.33259,2.60938
2002-02-15,1384.0,2002-02-15,,,1.89509,1.96652,2.125,2.33705,2.62723
2002-02-16,1384.0,,,,1.89509,1.96652,2.125,2.33705,2.62723
2002-02-17,1384.0,,,,1.89509,1.96652,2.125,2.33705,2.62723
2002-02-18,1385.0,2002-02-18,,,1.88616,1.97098,2.1183,2.32813,2.59152
2002-02-19,1386.0,2002-02-19,,,1.8817,1.96652,2.12054,2.33259,2.59375
2002-02-20,1387.0,2002-02-20,,,1.875,1.96205,2.12054,2.32366,2.60045
2002-02-21,1388.0,2002-02-21,,,1.8817,1.96875,2.125,2.34152,2.61161
2002-02-22,1389.0,2002-02-22,,,1.9375,1.99554,2.14063,2.3683,2.625
2002-02-23,1389.0,,,,1.9375,1.99554,2.14063,2.3683,2.625
2002-02-24,1389.0,,,,1.9375,1.99554,2.14063,2.3683,2.625
