end_of_date,Unnamed: 0,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
2002-01-02,6129.0,7.8,,3.25,1.94,2.0,105.9,671.0,387.0,0.0,-11.0,-375.0,102.0,2093.0,12145.0,16708.0,24464.0,25135.0,33102.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,,,,,,0.0,,,-11.0,273.0
2002-01-03,6128.0,7.8,,3.25,2.0,2.0,105.8,387.0,296.0,0.0,0.0,-102.0,11.0,8725.0,10736.0,23268.0,32286.0,35211.0,37037.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,,,,,,0.0,,,-11.0,273.0
2002-01-04,6127.0,7.8,,3.25,1.81,1.87054,105.8,296.0,377.0,0.0,0.0,-11.0,92.0,7943.0,17412.0,25434.0,33137.0,42345.0,42082.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,0.0,,,8.0,293.0,,,,,,0.0,,,-19.0,273.0
2002-01-05,6126.0,7.8,,3.25,1.81,1.87054,105.8,377.0,422.0,0.0,0.0,-88.0,133.0,953.0,1435.0,2002.0,2014.0,42345.0,42082.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,0.0,,,8.0,293.0,,,,,,0.0,,,-19.0,273.0
2002-01-06,6126.0,7.8,,3.25,1.81,1.87054,105.8,377.0,422.0,0.0,0.0,-88.0,133.0,953.0,1435.0,2002.0,2014.0,42345.0,42082.0,0.0,,,0.0,285.0,0.0,,,0.0,285.0,0.0,,,8.0,293.0,,,,,,0.0,,,-19.0,273.0
2002-01-07,6125.0,7.8,,3.25,1.56,1.79018,105.7,422.0,519.0,0.0,0.0,-137.0,234.0,3246.0,10366.0,26222.0,36719.0,35963.0,42469.0,0.0,,,0.0,285.0,0.0,,,8.0,293.0,0.0,,,0.0,293.0,,,,,,0.0,,,-19.0,273.0
2002-01-08,6124.0,7.8,,3.25,1.69,1.75223,105.9,519.0,379.0,0.0,0.0,-234.0,94.0,1318.0,19964.0,23404.0,33092.0,39454.0,38854.0,0.0,,,7.0,291.0,0.0,,,0.0,291.0,0.0,,,0.0,291.0,,,,,,0.0,,,-18.0,273.0
2002-01-09,6123.0,7.8,,3.25,1.88,1.80804,105.9,379.0,291.0,0.0,7.0,-94.0,0.0,3101.0,14064.0,27978.0,32873.0,37042.0,39589.0,0.0,,,0.0,291.0,0.0,,,0.0,291.0,0.0,,,20.0,311.0,,,,,,0.0,,,-38.0,273.0
2002-01-10,6122.0,7.8,,3.25,1.88,1.8125,105.9,291.0,297.0,0.0,0.0,0.0,5.0,3305.0,18048.0,24943.0,34726.0,37352.0,39230.0,0.0,,,0.0,291.0,0.0,,,20.0,311.0,0.0,,,32.0,343.0,,,,,,0.0,,,-70.0,273.0
2002-01-11,6121.0,7.8,,3.25,1.81,1.8125,105.9,297.0,764.0,0.0,0.0,-5.0,473.0,1019.0,14725.0,25378.0,34749.0,38455.0,36958.0,0.0,,,20.0,311.0,0.0,,,32.0,343.0,0.0,,,-4.0,339.0,,,,,,0.0,,,-66.0,273.0
2002-01-12,6120.0,7.8,,3.25,1.81,1.8125,105.9,764.0,507.0,0.0,0.0,-462.0,205.0,1418.0,2242.0,3031.0,2796.0,38455.0,36958.0,0.0,,,20.0,311.0,0.0,,,32.0,343.0,0.0,,,-4.0,339.0,,,,,,0.0,,,-66.0,273.0
2002-01-13,6120.0,7.8,,3.25,1.81,1.8125,105.9,764.0,507.0,0.0,0.0,-462.0,205.0,1418.0,2242.0,3031.0,2796.0,38455.0,36958.0,0.0,,,20.0,311.0,0.0,,,32.0,343.0,0.0,,,-4.0,339.0,,,,,,0.0,,,-66.0,273.0
2002-01-14,6119.0,7.8,,3.25,1.75,1.77232,105.8,507.0,351.0,0.0,20.0,-216.0,40.0,13183.0,21871.0,36471.0,42316.0,43022.0,43179.0,0.0,,,32.0,343.0,0.0,,,-4.0,339.0,0.0,,,20.0,359.0,,,,,,0.0,,,-86.0,273.0
2002-01-15,6118.0,7.8,,3.25,1.75,1.7433,105.8,351.0,343.0,0.0,32.0,-40.0,0.0,1505.0,6497.0,27982.0,33830.0,38666.0,37811.0,0.0,,,-6.0,337.0,0.0,,,20.0,357.0,0.0,,,0.0,357.0,,,,,,0.0,,,-84.0,273.0
2002-01-16,6117.0,7.8,,3.25,1.69,1.69196,105.9,343.0,814.0,0.0,-6.0,0.0,477.0,1169.0,14182.0,21356.0,28644.0,33457.0,37640.0,0.0,,,20.0,357.0,0.0,,,0.0,357.0,0.0,,,30.0,387.0,,,,,,0.0,,,-114.0,273.0
2002-01-17,6116.0,7.8,,3.25,1.69,1.69196,106.0,814.0,417.0,0.0,20.0,-477.0,60.0,7579.0,17998.0,26879.0,34723.0,39764.0,38386.0,0.0,,,0.0,357.0,0.0,,,30.0,387.0,0.0,,,0.0,387.0,,,,,,0.0,,,-114.0,273.0
2002-01-18,6115.0,7.8,,3.25,1.81,1.85268,106.1,417.0,630.0,0.0,0.0,-60.0,273.0,10085.0,17629.0,31574.0,36402.0,39327.0,38127.0,0.0,,,30.0,387.0,0.0,,,0.0,387.0,0.0,,,-43.0,344.0,,,,,,0.0,,,-70.0,273.0
2002-01-19,6114.0,7.8,,3.25,1.81,1.85268,106.0,630.0,357.0,0.0,0.0,-273.0,0.0,1518.0,1600.0,1836.0,1313.0,39327.0,38127.0,0.0,,,30.0,387.0,0.0,,,0.0,387.0,0.0,,,-43.0,344.0,,,,,,0.0,,,-70.0,273.0
2002-01-20,6114.0,7.8,,3.25,1.81,1.85268,106.0,630.0,357.0,0.0,0.0,-273.0,0.0,1518.0,1600.0,1836.0,1313.0,39327.0,38127.0,0.0,,,30.0,387.0,0.0,,,0.0,387.0,0.0,,,-43.0,344.0,,,,,,0.0,,,-70.0,273.0
2002-01-21,6113.0,7.8,,3.25,1.75,1.8125,106.0,357.0,388.0,0.0,30.0,0.0,1.0,2673.0,3997.0,9537.0,19342.0,22787.0,21900.0,0.0,,,0.0,387.0,0.0,,,-43.0,344.0,0.0,,,0.0,344.0,,,,,,0.0,,,-70.0,273.0
2002-01-22,6112.0,7.8,,3.25,1.75,1.8125,106.2,388.0,869.0,0.0,0.0,-1.0,482.0,12798.0,19906.0,25456.0,38652.0,41924.0,42290.0,0.0,,,-43.0,344.0,0.0,,,0.0,344.0,0.0,,,20.0,364.0,,,,,,0.0,,,-91.0,273.0
