end_of_date,Unnamed: 0,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
2002-01-02,6129.0,106875.0,5943.0,285.0,387.0,116353.0,107894.0,107791.0,229456.0
2002-01-03,6128.0,106345.0,5940.0,285.0,296.0,116278.0,108372.0,108360.0,228848.0
2002-01-04,6127.0,106675.0,5941.0,285.0,377.0,116438.0,108432.0,108339.0,229339.0
2002-01-05,6126.0,106785.0,5938.0,285.0,422.0,116449.0,108439.0,108300.0,229457.0
2002-01-06,6126.0,106785.0,5938.0,285.0,422.0,116449.0,108439.0,108300.0,229457.0
2002-01-07,6125.0,106565.0,5947.0,285.0,519.0,116554.0,108641.0,108407.0,229351.0
2002-01-08,6124.0,106075.0,5949.0,285.0,379.0,116584.0,108965.0,108871.0,228893.0
2002-01-09,6123.0,105985.0,5951.0,291.0,291.0,116519.0,107832.0,107832.0,228746.0
2002-01-10,6122.0,106185.0,5953.0,291.0,297.0,116571.0,107715.0,107710.0,229000.0
2002-01-11,6121.0,106505.0,5953.0,291.0,764.0,116672.0,107754.0,107263.0,229421.0
2002-01-12,6120.0,106575.0,5950.0,291.0,506.0,116683.0,107761.0,107544.0,229499.0
2002-01-13,6120.0,106575.0,5950.0,291.0,506.0,116683.0,107761.0,107544.0,229499.0
2002-01-14,6119.0,106275.0,5951.0,311.0,351.0,116825.0,107682.0,107642.0,229362.0
2002-01-15,6118.0,105765.0,5956.0,343.0,343.0,116742.0,107409.0,107409.0,228806.0
2002-01-16,6117.0,105625.0,5961.0,337.0,814.0,116821.0,107659.0,107177.0,228744.0
2002-01-17,6116.0,106135.0,5963.0,357.0,417.0,116697.0,107613.0,107553.0,229152.0
2002-01-18,6115.0,106585.0,5960.0,357.0,630.0,116605.0,107518.0,107241.0,229507.0
2002-01-19,6114.0,106715.0,5959.0,357.0,357.0,116615.0,107525.0,107525.0,229646.0
2002-01-20,6114.0,106715.0,5959.0,357.0,357.0,116615.0,107525.0,107525.0,229646.0
