,date,end_of_day,efb_7d,efb_30d,efb_91d,efb_182d,efb_273d,efb_364d,efn_2y,efn_3y,efn_4y,efn_5y,efn_7y,efn_10y,efn_15y
0,1991-06-10,1991-06-10,7.73,7.64,7.58,7.57,,7.61,,,,,,,
1,1991-06-11,1991-06-11,7.8,7.65,7.5,7.52,,7.52,,,,,,,
2,1991-06-12,1991-06-12,7.66,7.51,7.43,7.42,,7.43,,,,,,,
3,1991-06-13,1991-06-13,7.64,7.51,7.47,7.46,,7.45,,,,,,,
4,1991-06-14,1991-06-14,7.6,7.54,7.52,7.51,,7.48,,,,,,,
5,1991-06-19,1991-06-19,7.68,7.62,7.61,7.59,,7.6,,,,,,,
6,1991-06-20,1991-06-20,7.82,7.74,7.65,7.63,,7.59,,,,,,,
7,1991-06-21,1991-06-21,7.67,7.62,7.55,7.55,,7.56,,,,,,,
8,1991-06-24,1991-06-24,7.6,7.51,7.45,7.46,,7.5,,,,,,,
9,1991-06-25,1991-06-25,7.48,7.41,7.4,7.4,,7.42,,,,,,,
10,1991-06-26,1991-06-26,7.64,7.45,7.41,7.4,,7.46,,,,,,,
11,1991-06-27,1991-06-27,8.07,7.31,7.13,7.13,,7.25,,,,,,,
12,1991-06-28,1991-06-28,7.35,7.17,6.52,6.5,,6.77,,,,,,,
13,1991-07-01,1991-07-01,7.53,6.83,6.7,6.61,,6.76,,,,,,,
14,1991-07-02,1991-07-02,6.87,6.49,6.4,6.36,,6.63,,,,,,,
15,1991-07-03,1991-07-03,6.83,6.43,6.27,6.27,,6.63,,,,,,,
16,1991-07-04,1991-07-04,6.27,6.11,6.07,6.07,,6.42,,,,,,,
17,1991-07-05,1991-07-05,6.43,6.37,6.33,6.34,,6.84,,,,,,,
18,1991-07-08,1991-07-08,6.32,6.38,6.44,6.44,,6.8,,,,,,,
19,1991-07-09,1991-07-09,6.27,6.31,6.44,6.45,,6.8,,,,,,,
20,1991-07-10,1991-07-10,6.13,6.16,6.37,6.38,,6.64,,,,,,,
21,1991-07-11,1991-07-11,5.94,6.04,6.18,6.22,,6.6,,,,,,,
22,1991-07-12,1991-07-12,6.07,6.16,6.29,6.29,,6.72,,,,,,,
23,1991-07-15,1991-07-15,5.87,6.02,6.16,6.18,,6.51,,,,,,,
24,1991-07-16,1991-07-16,5.85,5.99,6.13,6.19,,6.61,,,,,,,
25,1991-07-17,1991-07-17,5.56,5.78,6.1,6.1,,6.6,,,,,,,
26,1991-07-18,1991-07-18,5.46,5.85,6.28,6.32,,6.73,,,,,,,
27,1991-07-19,1991-07-19,5.81,5.93,6.28,6.35,,6.75,,,,,,,
28,1991-07-22,1991-07-22,5.91,6.04,6.24,6.32,,6.71,,,,,,,
29,1991-07-23,1991-07-23,5.93,6.09,6.3,6.43,,6.75,,,,,,,
30,1991-07-24,1991-07-24,5.89,6.07,6.3,6.41,,6.73,,,,,,,
31,1991-07-25,1991-07-25,6.04,6.12,6.28,6.38,,6.69,,,,,,,
32,1991-07-26,1991-07-26,6.16,6.17,6.28,6.37,,6.7,,,,,,,
33,1991-07-29,1991-07-29,6.16,6.15,6.22,6.3,,6.67,,,,,,,
34,1991-07-30,1991-07-30,6.03,6.04,6.17,6.27,,6.55,,,,,,,
35,1991-07-31,1991-07-31,5.8,5.9,6.01,6.21,,6.51,,,,,,,
36,1991-08-01,1991-08-01,5.59,5.64,5.82,6.17,,6.44,,,,,,,
37,1991-08-02,1991-08-02,5.63,5.64,5.81,6.15,,6.46,,,,,,,
38,1991-08-05,1991-08-05,5.51,5.55,5.66,5.92,,6.35,,,,,,,
39,1991-08-06,1991-08-06,5.58,5.6,5.76,5.96,,6.4,,,,,,,
40,1991-08-07,1991-08-07,5.29,5.42,5.64,5.83,,6.32,,,,,,,
41,1991-08-08,1991-08-08,5.1,5.24,5.52,5.85,,6.29,,,,,,,
42,1991-08-09,1991-08-09,5.15,5.37,5.65,5.92,,6.35,,,,,,,
43,1991-08-12,1991-08-12,4.88,5.14,5.4,5.78,,6.27,,,,,,,
44,1991-08-13,1991-08-13,5.02,5.25,5.55,5.88,,6.41,,,,,,,
45,1991-08-14,1991-08-14,4.64,5.19,5.63,5.93,,6.42,,,,,,,
46,1991-08-15,1991-08-15,4.62,5.05,5.46,5.82,,6.35,,,,,,,
