date,end_of_day,usd,gbp,jpy,cad,aud,sgd,twd,chf,cny,krw,thb,myr,dem,nlg,bef,frf,itl,eur,php,inr,idr,zar,special_drawing_rights,neeri_1983_trade_wgt,neeri_1983_import_wgt,neeri_1983_export_wgt,neeri_2000_trade_wgt,neeri_2000_import_wgt,neeri_2000_export_wgt,neeri_2010_trade_wgt,neeri_2010_import_wgt,neeri_2010_export_wgt,neeri_2020_trade_wgt,neeri_2020_import_wgt,neeri_2020_export_wgt
1991-12-13,1991-12-13,7.775,14.065,0.060525,6.8075,6.0075,4.715,0.2825,5.5775,1.4404,0.010273,,,4.9275,4.3725,0.242,1.443,0.00654,,,,,,10.8848445,,,,,,,,,,,,
1991-12-14,1991-12-14,7.774,14.105,0.060375,6.8125,6.0125,4.705,0.2825,5.5525,1.4404,0.0102675,,,4.9125,4.3375,0.241,1.432,0.00651,,,,,,,,,,,,,,,,,,
1991-12-16,1991-12-16,7.776,14.135,0.060595,6.8125,6.0275,4.705,0.2825,5.5825,1.4404,0.0102675,,,4.9275,4.3625,0.241,1.439,0.00655,,,,,,10.90218528,,,,,,,,,,,,
1991-12-17,1991-12-17,7.775,14.175,0.060625,6.8095,6.0325,4.725,0.2825,5.5825,1.4404,0.010259,,,4.9425,4.3775,0.243,1.448,0.00658,,,,,,10.91921,,,,,,,,,,,,
1991-12-18,1991-12-18,7.775,14.205,0.060525,6.7945,6.0245,4.73,0.2825,5.5925,1.4404,0.010256,,,4.9475,4.3925,0.244,1.452,0.00659,,,,,,10.93654825,,,,,,,,,,,,
1991-12-19,1991-12-19,7.775,14.195,0.060475,6.7825,6.0325,4.73,0.2825,5.5825,1.4404,0.010254,,,4.9425,4.3825,0.244,1.448,0.00658,,,,,,10.91928775,,,,,,,,,,,,
1991-12-20,1991-12-20,7.773,14.245,0.060625,6.7325,5.9775,4.735,0.2825,5.6225,1.4404,0.010252,,,4.9875,4.4325,0.246,1.465,0.00664,,,,,,10.96443834,,,,,,,,,,,,
1991-12-21,1991-12-21,7.768,14.435,0.060775,6.7325,5.9725,4.74,0.2835,5.6875,1.4404,0.0102455,,,5.0675,4.4925,0.249,1.485,0.0067,,,,,,,,,,,,,,,,,,
1991-12-23,1991-12-23,7.772,14.505,0.061075,6.7425,5.9425,4.765,0.2835,5.7325,1.4404,0.0102455,,,5.0975,4.5225,0.25,1.493,0.00673,,,,,,11.09274244,,,,,,,,,,,,
1991-12-24,1991-12-24,7.772,14.555,0.061125,6.7075,5.9375,4.78,0.2835,5.7575,1.4404,0.0102415,,,5.1225,4.5375,0.252,1.494,0.00676,,,,,,11.0875352,,,,,,,,,,,,
