,date,end_of_day,ir_overnight,ir_1w,ir_1m,ir_3m,ir_6m,ir_9m,ir_12m
0,1996-07-01,1996-07-01,,,5.5,5.625,5.8125,6.00781,6.23438
1,1996-07-02,1996-07-02,,,5.5625,5.67188,5.84375,6.02344,6.23438
2,1996-07-03,1996-07-03,,,5.5625,5.67969,5.84375,6.02344,6.25
3,1996-07-04,1996-07-04,,,5.53125,5.64844,5.83594,6.01563,6.25
4,1996-07-05,1996-07-05,,,5.5625,5.66406,5.85156,6.03125,6.24219
5,1996-07-08,1996-07-08,,,5.6875,5.8125,6.01563,6.21875,6.375
6,1996-07-09,1996-07-09,,,5.64063,5.78906,5.98438,6.1875,6.375
7,1996-07-10,1996-07-10,,,5.60156,5.71875,5.92188,6.125,6.3125
8,1996-07-11,1996-07-11,,,5.47656,5.72656,5.9375,6.125,6.3125
9,1996-07-12,1996-07-12,,,5.50781,5.75,5.94531,6.14063,6.33594
10,1996-07-15,1996-07-15,,,5.46094,5.70313,5.9375,6.13281,6.33594
11,1996-07-16,1996-07-16,,,5.4375,5.70313,5.9375,6.125,6.34375
12,1996-07-17,1996-07-17,,,5.41406,5.67969,5.9375,6.125,6.3125
13,1996-07-18,1996-07-18,,,5.4375,5.67969,5.9375,6.125,6.32031
14,1996-07-19,1996-07-19,,,5.42188,5.67188,5.9375,6.11719,6.29688
15,1996-07-22,1996-07-22,,,5.40625,5.66406,5.9375,6.11719,6.29688
16,1996-07-23,1996-07-23,,,5.41406,5.65625,5.92188,6.10156,6.28125
17,1996-07-24,1996-07-24,,,5.42969,5.66406,5.92188,6.10156,6.28906
18,1996-07-25,1996-07-25,,,5.4375,5.66406,5.92188,6.10156,6.29688
19,1996-07-26,1996-07-26,,,5.42969,5.64063,5.91406,6.10156,6.29688
20,1996-07-29,1996-07-29,,,5.375,5.63281,5.90625,6.09375,6.28906
21,1996-07-30,1996-07-30,,,5.375,5.625,5.92188,6.10156,6.29688
22,1996-07-31,1996-07-31,,,5.45313,5.67969,5.94531,6.11719,6.32031
23,1996-08-01,1996-08-01,,,5.39844,5.66406,5.9375,6.125,6.34375
24,1996-08-02,1996-08-02,,,5.39063,5.625,5.92188,6.09375,6.28906
25,1996-08-05,1996-08-05,,,5.32031,5.5625,5.84375,6.0,6.16406
26,1996-08-06,1996-08-06,,,5.3125,5.5625,5.8125,6.0,6.17969
27,1996-08-07,1996-08-07,,,5.375,5.63281,5.88281,6.04688,6.24219
28,1996-08-08,1996-08-08,,,5.375,5.60156,5.85156,6.05469,6.25
29,1996-08-09,1996-08-09,,,5.36719,5.58594,5.83594,6.03125,6.24219
30,1996-08-12,1996-08-12,,,5.35156,5.57813,5.8125,6.0,6.19531
31,1996-08-13,1996-08-13,,,5.3155,5.5625,5.8125,6.0,6.1875
32,1996-08-14,1996-08-14,,,5.3125,5.57031,5.8125,6.00781,6.19531
33,1996-08-15,1996-08-15,,,5.3125,5.57031,5.8125,6.00781,6.19531
34,1996-08-16,1996-08-16,,,5.30469,5.5625,5.8125,6.00781,6.19531
35,1996-08-19,1996-08-19,,,5.28906,5.52344,5.78906,5.98438,6.1875
36,1996-08-20,1996-08-20,,,5.29688,5.53906,5.78125,5.97656,6.19531
37,1996-08-21,1996-08-21,,,5.26563,5.52344,5.76563,5.96094,6.14844
38,1996-08-22,1996-08-22,,,5.3125,5.5625,5.78125,5.97656,6.14844
39,1996-08-23,1996-08-23,,,5.32031,5.55469,5.78125,5.97656,6.15625
40,1996-08-27,1996-08-27,,,5.34375,5.53906,5.78906,5.98438,6.17188
41,1996-08-28,1996-08-28,,,5.34375,5.57031,5.79688,5.98438,6.16406
42,1996-08-29,1996-08-29,,,5.35156,5.5625,5.78125,5.98438,6.17188
43,1996-08-30,1996-08-30,,,5.4375,5.59375,5.82813,6.03125,6.25
44,1996-09-02,1996-09-02,,,5.44531,5.63281,5.86719,6.08594,6.27344
45,1996-09-03,1996-09-03,,,5.45313,5.64844,5.88281,6.09375,6.27344
46,1996-09-04,1996-09-04,,,5.49219,5.6875,5.95313,6.14844,6.34375
47,1996-09-05,1996-09-05,,,5.44531,5.6875,5.94533,6.13281,6.32913
48,1996-09-06,1996-09-06,,,5.46094,5.70313,5.96094,6.14844,6.33594
