,end_of_date,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
0,2025-11-24,627245,13171,54212,54212,1330755,1160259,1160259,2025383
1,2025-11-21,630035,13171,54163,54163,1331740,1160951,1160951,2029109
2,2025-11-20,626595,13171,54163,54183,1331632,1163736,1163715,2025561
3,2025-11-19,625955,13171,54163,54163,1331743,1165552,1165552,2025032
4,2025-11-18,626745,13171,54090,54090,1331110,1164535,1164535,2025116
5,2025-11-17,627505,13171,54090,54090,1330437,1163834,1163834,2025203
6,2025-11-14,630075,13171,54090,54090,1330048,1163528,1163528,2027384
7,2025-11-13,626285,13171,54090,54090,1329888,1162196,1162196,2023434
8,2025-11-12,625375,13168,54090,54090,1329913,1164441,1164441,2022546
9,2025-11-11,626925,13171,54072,54072,1329730,1167842,1167842,2023898
10,2025-11-10,628075,13172,54072,56016,1329701,1168834,1166886,2025020
11,2025-11-07,630995,13172,54072,54171,1329473,1171936,1171836,2027712
12,2025-11-06,627295,13174,54072,54072,1329212,1174523,1174523,2023753
13,2025-11-05,626075,13174,54072,54072,1329018,1175643,1175643,2022339
14,2025-11-04,627335,13178,54053,54053,1328773,1167779,1167779,2023339
15,2025-11-03,627945,13178,54053,54678,1328485,1168957,1168332,2023661
16,2025-10-31,631535,13178,54053,54053,1328030,1168957,1168957,2026796
17,2025-10-30,627915,13183,54053,54683,1327836,1171553,1170922,2022987
18,2025-10-28,628285,13183,54172,54172,1327437,1175801,1175801,2023077
19,2025-10-27,626715,13185,54172,54172,1327410,1176057,1176057,2021482
20,2025-10-24,628345,13185,54172,54172,1327078,1176879,1176879,2022780
21,2025-10-23,624425,13180,54172,54192,1326965,1176148,1176148,2018742
22,2025-10-22,623195,13175,54172,54172,1326765,1176203,1176203,2017307
23,2025-10-21,624555,13175,54164,54164,1326434,1175352,1175352,2018328
24,2025-10-20,625405,13176,54164,54164,1326359,1176356,1176356,2019104
25,2025-10-17,627845,13178,54164,54164,1326177,1176046,1176046,2021364
26,2025-10-16,624165,13178,54164,54164,1326112,1175034,1175034,2017619
27,2025-10-15,623595,13180,54164,54184,1325997,1174191,1174170,2016936
28,2025-10-14,624655,13179,54167,54167,1325771,1170070,1170070,2017772
29,2025-10-13,626385,13179,54167,54167,1325811,1170212,1170212,2019542
30,2025-10-10,629545,13179,54167,54167,1325541,1170397,1170397,2022432
31,2025-10-09,626665,13179,54167,54167,1325402,1170690,1170690,2019413
32,2025-10-08,628095,13179,54167,54167,1325250,1130094,1130094,2020691
33,2025-10-06,630485,13178,54147,54147,1325030,1168882,1168882,2022840
34,2025-10-03,631925,13178,54147,54147,1324899,1169642,1169642,2024149
35,2025-10-02,627285,13178,54147,54147,1324905,1170764,1170764,2019515
36,2025-09-30,628365,13185,54208,54208,1324480,1170669,1170669,2020238
37,2025-09-29,627105,13181,54208,54208,1324513,1171909,1171909,2019007
38,2025-09-26,629695,13181,54208,54208,1324184,1175810,1175810,2021268
39,2025-09-25,625415,13175,54208,54208,1323929,1194132,1194132,2016727
40,2025-09-24,628095,13176,53992,55266,1323054,1119399,1118122,2018317
41,2025-09-23,628095,13176,53992,54368,1323764,1191130,1190754,2019027
42,2025-09-22,626825,13176,53992,54032,1323984,1190659,1190619,2017977
43,2025-09-19,628185,13176,53992,53992,1323777,1192468,1192468,2019130
44,2025-09-18,624375,13176,53992,53992,1323640,1194844,1194844,2015183
45,2025-09-17,621135,13173,53992,53992,1323674,1195627,1195627,2011974
46,2025-09-16,622185,13173,53983,53983,1323602,1195768,1195768,2012943
47,2025-09-15,623785,13174,53983,53983,1323566,1200904,1200904,2014508
48,2025-09-12,626085,13174,53983,53983,1323300,1201303,1201303,2016542
49,2025-09-11,622345,13172,53983,53983,1323316,1201912,1201912,2012816
50,2025-09-10,621445,13172,53983,53983,1323290,1202138,1202138,2011890
51,2025-09-09,622535,13173,53996,53996,1323115,1207959,1207959,2012819
52,2025-09-08,625835,13173,53996,53996,1323169,1209455,1209455,2016173
53,2025-09-05,625835,13173,53996,53996,1322882,1208569,1208569,2015886
54,2025-09-04,621205,13173,53996,53996,1322803,1209055,1209055,2011177
55,2025-09-03,620515,13168,53996,53996,1322746,1209300,1209300,2010425
56,2025-09-02,622085,13168,54061,54061,1322325,1206171,1206171,2011639
57,2025-09-01,622835,13168,54061,55461,1322437,1206525,1205123,2012501
58,2025-08-29,624765,13168,54061,54061,1322034,1205496,1205496,2014028
59,2025-08-28,619575,13168,54061,54061,1322109,1206317,1206317,2008913
60,2025-08-27,618225,13169,54056,54056,1321851,1206067,1206067,2007301
61,2025-08-26,619185,13172,53948,53948,1322209,1201486,1201486,2008514
62,2025-08-25,619735,13172,53944,53944,1322808,1200753,1200753,2009659
63,2025-08-22,621865,13172,53877,53877,1322738,1199470,1199470,2011652
64,2025-08-21,619035,13172,53852,53852,1322611,1199876,1199876,2008670
65,2025-08-20,618315,13172,53832,53909,1322597,1199428,1199351,2007916
66,2025-08-19,619605,13169,53716,53716,1323606,1196920,1196920,2010096
67,2025-08-18,620975,13169,53716,53716,1323856,1197088,1197088,2011716
68,2025-08-15,623175,13168,53716,53716,1324112,1196504,1196504,2014171
69,2025-08-14,619605,13168,57091,57091,1324594,1196775,1196775,2014458
70,2025-08-13,618645,13168,64156,64156,1324588,1198075,1198075,2020557
71,2025-08-12,619615,13164,64062,64062,1324750,1199834,1199834,2021591
72,2025-08-11,620725,13164,64062,64062,1324769,1199825,1199825,2022720
73,2025-08-08,623495,13164,64062,64062,1324669,1200159,1200159,2025390
74,2025-08-07,619235,13164,72501,72501,1324590,1201678,1201678,2029490
75,2025-08-06,618745,13164,72501,72501,1324458,1205748,1205748,2028868
76,2025-08-05,620625,13163,79020,79020,1324546,1202547,1202547,2037354
77,2025-08-04,620625,13163,82552,82552,1324516,1203027,1203027,2040856
78,2025-08-01,623505,13163,82552,82552,1324294,1202757,1202757,2043514
79,2025-07-31,618715,13163,86477,86558,1324261,1202262,1202181,2042616
80,2025-07-30,616785,13163,86477,86477,1324175,1203343,1203343,2040600
81,2025-07-29,617585,13160,86346,86346,1324231,1201013,1201013,2041322
82,2025-07-28,617935,13160,86346,86346,1324162,1204677,1204677,2041603
83,2025-07-25,620235,13160,86346,86346,1324048,1202435,1202435,2043789
84,2025-07-24,616405,13160,86346,86346,1324106,1201588,1201588,2040017
85,2025-07-23,616695,13167,86346,86366,1324033,1208458,1208437,2040241
86,2025-07-22,617255,13169,86429,86449,1323856,1210598,1210577,2040709
87,2025-07-21,618355,13169,86429,86429,1323938,1210655,1210655,2041891
88,2025-07-18,620855,13171,86429,86429,1323908,1210520,1210520,2044363
89,2025-07-17,616595,13171,86429,86429,1323608,1209758,1209758,2039803
90,2025-07-16,614725,13171,101258,101258,1323377,1212483,1212483,2052531
91,2025-07-15,616255,13171,101215,101215,1323597,1211890,1211890,2054238
92,2025-07-14,617685,13171,101215,101215,1323608,1212170,1212170,2055679
93,2025-07-11,620295,13170,114497,114497,1323658,1212058,1212058,2071620
94,2025-07-10,616685,13167,114497,114497,1323679,1212947,1212947,2068028
95,2025-07-09,615845,13165,114497,114497,1323496,1213889,1213889,2067003
96,2025-07-08,617465,13165,114541,119209,1323528,1208376,1203704,2068699
97,2025-07-07,618185,13165,114541,114541,1323597,1208585,1208585,2069488
98,2025-07-04,620745,13165,144175,144175,1323730,1209148,1209148,2101815
99,2025-07-03,616475,13165,144175,144175,1323970,1209454,1209454,2097785
100,2025-07-02,616595,13169,164192,164192,1323727,1209751,1209751,2117683
101,2025-06-30,619045,13169,164098,164098,1323941,1211228,1211228,2120253
102,2025-06-27,617915,13169,164098,164098,1323841,1211129,1211129,2119023
103,2025-06-26,612475,13169,173518,173518,1323590,1211337,1211337,2122752
104,2025-06-25,611555,13169,173518,173518,1323470,1212286,1212286,2121712
105,2025-06-24,612495,13169,173464,173464,1323538,1212562,1212562,2122666
106,2025-06-23,613085,13169,173464,173464,1323522,1214090,1214090,2123240
107,2025-06-20,614885,13169,173464,173464,1323510,1213945,1213945,2125028
108,2025-06-19,611715,13169,173464,173464,1323543,1214383,1214383,2121891
109,2025-06-18,611625,13166,173464,173464,1323502,1214374,1214374,2121757
110,2025-06-17,612645,13175,173483,173483,1323447,1212098,1212098,2122750
111,2025-06-16,613775,13174,173483,173483,1322962,1213024,1213024,2123394
112,2025-06-13,615785,13176,173483,173483,1322926,1213764,1213764,2125370
113,2025-06-12,615145,13176,173483,173483,1322857,1214518,1214518,2124661
114,2025-06-11,611525,13176,173483,173483,1322850,1214555,1214555,2121034
115,2025-06-10,611975,13181,173519,173519,1324646,1206944,1206944,2123321
116,2025-06-09,612915,13181,173519,173539,1324646,1217815,1217795,2124261
117,2025-06-06,616145,13181,173519,173519,1322564,1217357,1217357,2125409
118,2025-06-05,612575,13181,173519,173519,1322434,1218381,1218381,2121709
119,2025-06-04,611735,13181,173519,173519,1322412,1218442,1218442,2120847
120,2025-06-03,612775,13188,173434,176446,1322658,1219112,1216092,2122055
121,2025-06-02,613395,13192,173434,173434,1322735,1219362,1219362,2122756
122,2025-05-30,615415,13192,173434,173434,1322897,1219593,1219593,2124938
123,2025-05-29,609995,13189,173434,173434,1323072,1219989,1219989,2119690
124,2025-05-28,607885,13190,173434,173434,1323029,1220595,1220595,2117538
125,2025-05-27,608125,13193,173658,173658,1322672,1219034,1219034,2117648
126,2025-05-26,608735,13192,173652,173652,1322583,1218590,1218590,2118162
127,2025-05-23,610125,13193,173615,173615,1322484,1217092,1217092,2119417
128,2025-05-22,606705,13194,173593,174089,1322180,1214663,1214165,2115672
129,2025-05-21,605845,13196,173565,173565,1322183,1215609,1215609,2114789
130,2025-05-20,606645,13201,173632,173632,1321985,1209463,1209463,2115463
131,2025-05-19,607665,13201,173630,173630,1320983,1209336,1209336,2115479
132,2025-05-16,609655,13207,173630,173630,1320868,1209469,1209469,2117360
133,2025-05-15,606565,13207,173630,173630,1320848,1209550,1209550,2114250
134,2025-05-14,605765,13205,173630,173630,1320837,1210888,1210888,2113437
135,2025-05-13,606815,13205,174100,174100,1320269,1209477,1209477,2114389
136,2025-05-12,608135,13205,174100,174100,1319794,1209693,1209693,2115234
137,2025-05-09,610745,13205,174100,174100,1318982,1208110,1208110,2117032
138,2025-05-08,608075,13205,174100,174100,1318094,1207684,1207684,2113474
139,2025-05-07,608975,13201,161313,161313,1316382,1207450,1207450,2099871
140,2025-05-06,610455,13204,44611,44611,1315515,1197086,1197086,1983785
141,2025-05-02,615005,13204,44611,44611,1314072,1194827,1194827,1986892
142,2025-04-30,611155,13204,44611,45106,1313813,1199052,1198556,1982783
143,2025-04-29,608595,13204,44547,44597,1313744,1201080,1201030,1980090
144,2025-04-28,607345,13204,44547,44547,1313953,1202597,1202597,1979049
145,2025-04-25,608285,13204,44547,44822,1313620,1203362,1203087,1979656
146,2025-04-24,605745,13204,44547,44547,1313632,1207827,1207827,1977128
147,2025-04-23,607525,13201,44547,44547,1313558,1208027,1208027,1978831
148,2025-04-22,609405,13207,44674,44734,1313393,1204453,1204393,1980679
149,2025-04-17,613795,13207,44674,44674,1312921,1200701,1200701,1984597
150,2025-04-16,610335,13207,44674,44674,1312772,1203779,1203779,1980988
151,2025-04-15,608035,13213,44783,44783,1312525,1202122,1202122,1978556
152,2025-04-14,607075,13213,44783,44783,1312479,1202526,1202526,1977550
153,2025-04-11,608195,13213,44783,45476,1312165,1202389,1201689,1978356
