ir_1w,ir_1m,ir_3m,ir_6m,ir_9m,ir_12m,date,hibor_overnight,data_type,source
3.44077,3.42911,3.54899,3.44756,,3.40077,2025-10-31,3.85667,hibor,HKMA
3.49958,3.41536,3.541,3.44542,,3.37387,2025-10-30,3.07464,hibor,HKMA
3.55244,3.43738,3.55637,3.43762,,3.3431,2025-10-28,3.26679,hibor,HKMA
3.46762,3.5,3.59262,3.41917,,3.35417,2025-10-27,2.9325,hibor,HKMA
3.27357,3.47292,3.57268,3.41321,,3.33405,2025-10-24,2.91345,hibor,HKMA
3.47369,3.54095,3.61393,3.43952,,3.32512,2025-10-23,3.03952,hibor,HKMA
3.49571,3.53185,3.61768,3.41066,,3.30756,2025-10-22,3.17595,hibor,HKMA
3.74607,3.66411,3.68679,3.44435,,3.32988,2025-10-21,3.84191,hibor,HKMA
3.69976,3.57857,3.60613,3.4306,,3.33024,2025-10-20,3.78393,hibor,HKMA
3.5319,3.53167,3.59173,3.42917,,3.3294,2025-10-17,3.61524,hibor,HKMA
3.4,3.46494,3.53155,3.43268,,3.35738,2025-10-16,3.42417,hibor,HKMA
3.37232,3.42417,3.53066,3.4,,3.3225,2025-10-15,3.34476,hibor,HKMA
3.48577,3.50423,3.57226,3.43714,,3.36536,2025-10-14,3.56393,hibor,HKMA
3.42417,3.44024,3.52321,3.4,,3.32631,2025-10-13,3.59571,hibor,HKMA
3.48548,3.48435,3.58577,3.41321,,3.36821,2025-10-10,3.54131,hibor,HKMA
3.44631,3.52036,3.5931,3.41532,,3.37054,2025-10-09,3.41917,hibor,HKMA
3.52673,3.55417,3.61714,3.43952,,3.38691,2025-10-08,3.46214,hibor,HKMA
3.6,3.58667,3.60232,3.44024,,3.38905,2025-10-06,3.7675,hibor,HKMA
3.54702,3.51464,3.58905,3.44024,,3.38619,2025-10-03,3.62036,hibor,HKMA
3.49941,3.49685,3.54024,3.4125,,3.38619,2025-10-02,3.6,hibor,HKMA
4.18298,3.53762,3.52571,3.4125,,3.38691,2025-09-30,5.01798,hibor,HKMA
4.20298,3.59804,3.52714,3.41429,,3.38905,2025-09-29,3.71536,hibor,HKMA
4.21107,3.60661,3.52036,3.43036,,3.38173,2025-09-26,3.93024,hibor,HKMA
4.16964,3.62202,3.53458,3.43881,,3.38762,2025-09-25,3.69893,hibor,HKMA
4.69857,3.91107,3.73881,3.49643,,3.41607,2025-09-23,4.4525,hibor,HKMA
4.30167,3.6131,3.55774,3.42173,,3.38976,2025-09-22,4.13429,hibor,HKMA
3.19941,3.41607,3.42673,3.41536,,3.36161,2025-09-19,3.24536,hibor,HKMA
3.10607,3.36089,3.39827,3.3903,,3.35732,2025-09-18,3.06,hibor,HKMA
2.98762,3.21107,3.29756,3.32816,,3.33125,2025-09-17,2.90917,hibor,HKMA
2.97131,3.2175,3.3431,3.34381,,3.32887,2025-09-16,2.88262,hibor,HKMA
3.03726,3.19036,3.3,3.27512,,3.28577,2025-09-15,3.06107,hibor,HKMA
2.76274,3.16196,3.22173,3.22667,,3.22738,2025-09-12,2.63333,hibor,HKMA
2.61179,3.0372,3.14875,3.17625,,3.17036,2025-09-11,2.41536,hibor,HKMA
2.65417,3.08625,3.16631,3.17768,,3.17036,2025-09-10,2.60512,hibor,HKMA
2.72333,3.04369,3.10869,3.17625,,3.16893,2025-09-09,2.61607,hibor,HKMA
2.60018,3.00018,3.10863,3.16696,,3.1881,2025-09-05,2.52274,hibor,HKMA
2.53881,2.96702,3.07946,3.1581,,3.17482,2025-09-04,2.42179,hibor,HKMA
2.43333,2.84964,3.01179,3.12786,,3.13887,2025-09-03,2.30298,hibor,HKMA
3.11321,3.14816,3.21107,3.21411,,3.21036,2025-09-02,2.88679,hibor,HKMA
3.26595,3.15345,3.19226,3.19083,,3.17976,2025-09-01,4.64714,hibor,HKMA
3.61405,3.29655,3.29583,3.26952,,3.27167,2025-08-29,4.00012,hibor,HKMA
3.70548,3.30649,3.3072,3.26524,,3.30363,2025-08-28,3.98226,hibor,HKMA
3.16429,3.2331,3.2731,3.23036,,3.23393,2025-08-27,3.12357,hibor,HKMA
2.90786,2.81464,2.91393,2.98691,,3.09863,2025-08-26,2.7375,hibor,HKMA
2.80964,2.7272,2.78952,2.97905,,3.08161,2025-08-25,2.66345,hibor,HKMA
2.80042,2.7706,2.83738,2.98619,,3.12071,2025-08-22,2.76786,hibor,HKMA
2.82107,2.84191,2.87548,2.98619,,3.15274,2025-08-21,2.7981,hibor,HKMA
2.8,2.85774,2.92595,3.0,,3.18405,2025-08-20,2.78762,hibor,HKMA
2.66119,2.57417,2.57488,2.69845,,2.93393,2025-08-19,2.89393,hibor,HKMA
1.84381,2.01393,2.18333,2.46345,,2.76637,2025-08-18,1.96768,hibor,HKMA
0.94941,1.45095,1.8606,2.38411,,2.67143,2025-08-15,0.76935,hibor,HKMA
0.53673,1.04524,1.72488,2.29089,,2.61964,2025-08-14,0.37619,hibor,HKMA
0.35214,0.91036,1.60637,2.21464,,2.61786,2025-08-13,0.17708,hibor,HKMA
0.33482,0.90893,1.6,2.21464,,2.6431,2025-08-12,0.16423,hibor,HKMA
0.35,0.95202,1.62893,2.21179,,2.64381,2025-08-11,0.19417,hibor,HKMA
0.42964,0.95893,1.62679,2.22286,,2.65589,2025-08-08,0.27274,hibor,HKMA
0.38792,0.96494,1.64702,2.24494,,2.66042,2025-08-07,0.20143,hibor,HKMA
0.28387,0.87774,1.61607,2.22268,,2.67298,2025-08-06,0.13738,hibor,HKMA
0.28667,0.93762,1.58244,2.16911,,2.69643,2025-08-04,0.13387,hibor,HKMA
0.43119,0.9931,1.61821,2.25774,,2.78976,2025-08-01,0.17994,hibor,HKMA
0.62381,1.03363,1.6175,2.26839,,2.80185,2025-07-31,0.18506,hibor,HKMA
0.73923,1.03244,1.62179,2.25071,,2.80113,2025-07-30,0.42494,hibor,HKMA
0.83167,1.02143,1.70214,2.38691,,2.85524,2025-07-29,0.48315,hibor,HKMA
0.79911,1.02321,1.70262,2.4175,,2.88762,2025-07-28,0.56941,hibor,HKMA
0.44452,0.91679,1.75,2.41679,,2.88762,2025-07-25,0.26857,hibor,HKMA
0.36268,0.89857,1.7628,2.41536,,2.88762,2025-07-24,0.2203,hibor,HKMA
0.32125,0.93817,1.78101,2.4381,,2.88976,2025-07-23,0.18512,hibor,HKMA
0.30637,0.92958,1.79238,2.47054,,2.90655,2025-07-22,0.19512,hibor,HKMA
0.23619,0.91036,1.8322,2.43292,,2.90441,2025-07-21,0.19006,hibor,HKMA
0.26321,1.07321,1.93256,2.51113,,2.92452,2025-07-18,0.13232,hibor,HKMA
0.38691,1.17726,2.03976,2.57625,,2.97006,2025-07-17,0.18905,hibor,HKMA
0.42696,1.17482,2.00536,2.56845,,2.97125,2025-07-16,0.12095,hibor,HKMA
0.39714,1.13905,1.9128,2.54708,,2.93923,2025-07-15,0.1997,hibor,HKMA
0.42107,1.14857,1.90214,2.49429,,2.92411,2025-07-14,0.2,hibor,HKMA
0.32857,1.08191,1.84857,2.43458,,2.92786,2025-07-11,0.08935,hibor,HKMA
0.32929,1.03304,1.8,2.40435,,2.89685,2025-07-10,0.07113,hibor,HKMA
0.38339,1.10143,1.80393,2.39786,,2.925,2025-07-09,0.0697,hibor,HKMA
0.36691,1.07488,1.81464,2.3997,,2.93304,2025-07-08,0.04042,hibor,HKMA
0.46089,1.05446,1.81488,2.41179,,2.95506,2025-07-07,0.08373,hibor,HKMA
0.39452,0.85875,1.78435,2.38048,,2.9231,2025-07-04,0.02982,hibor,HKMA
0.1975,0.7125,1.7,2.31768,,2.90601,2025-07-03,0.02039,hibor,HKMA
0.19101,0.72958,1.70589,2.32857,,2.90869,2025-07-02,0.02,hibor,HKMA
0.15637,0.72744,1.67958,2.37625,,2.96274,2025-06-30,0.02839,hibor,HKMA
