strategy,params,total_return,sharpe,trades,win_rate
RSI,"(21, 20, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 25, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 30, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 35, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 15, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 20, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 25, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 30, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 35, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 15, 80)",0.37137992405898845,589547352.5892822,1,1.0
RSI,"(18, 15, 80)",0.20517563604988423,325706224.8464955,1,1.0
RSI,"(18, 20, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 25, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 30, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 35, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 15, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 20, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 25, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 30, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 35, 75)",0.20441637367357635,324500933.18996036,1,1.0
MA,"(15, 90)",0.19563755595545324,310564992.09756756,1,1.0
RSI,"(14, 25, 80)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 20, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 25, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 30, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 15, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 20, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 25, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 30, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 35, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(14, 20, 80)",0.1143741960956079,181563407.5631479,1,1.0
RSI,"(21, 15, 75)",0.1143741960956079,181563407.5631479,1,1.0
MA,"(10, 100)",0.10968133066661113,174113714.6462972,1,1.0
MA,"(15, 100)",0.0983883765784133,156186705.7955122,1,1.0
RSI,"(18, 15, 75)",0.09596067331662879,152332846.3428669,1,1.0
RSI,"(18, 20, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(18, 25, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(18, 30, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 15, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 20, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 25, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 30, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 35, 70)",0.09527021652321921,151236780.16302878,1,1.0
MA,"(20, 100)",0.08768978849485727,139203223.72634718,1,1.0
MA,"(25, 100)",0.08768978849485727,139203223.72634718,1,1.0
MA,"(30, 100)",0.08768978849485727,139203223.72634718,1,1.0
RSI,"(10, 20, 80)",0.04924113382597818,78167876.62703325,1,1.0
RSI,"(18, 15, 70)",0.04924113382597818,78167876.62703325,1,1.0
RSI,"(14, 25, 75)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 20, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 25, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 30, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 20, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 25, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 30, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 15, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 20, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 25, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 30, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 35, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 15, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 20, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 25, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 30, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 35, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(14, 20, 75)",0.016514548163319397,26216032.472844973,1,1.0
RSI,"(21, 15, 70)",0.016514548163319397,26216032.472844973,1,1.0
RSI,"(10, 20, 75)",0.011363093665131052,18038351.977362134,1,1.0
RSI,"(14, 25, 70)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 20, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 25, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 30, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(14, 35, 80)",0.30927267318155394,480.4201944265974,2,1.0
RSI,"(10, 30, 80)",0.1848580921023131,74.36498647174147,3,1.0
RSI,"(14, 35, 75)",0.1848580921023131,74.36498647174147,3,1.0
RSI,"(18, 35, 70)",0.12820883537270283,65.55045640166125,2,1.0
RSI,"(18, 35, 75)",0.2550161862349926,62.787249446466376,2,1.0
RSI,"(14, 30, 80)",0.40031700905460654,62.7553644295516,2,1.0
RSI,"(21, 35, 75)",0.4498428257037109,47.35765007018074,2,1.0
RSI,"(10, 35, 80)",0.3159532042907133,47.19981829705447,4,1.0
MA,"(25, 80)",0.36743907119830727,42.69176207738364,2,1.0
RSI,"(10, 35, 75)",0.20345246195520272,34.150947203339264,4,1.0
RSI,"(10, 25, 80)",0.15279252985629074,30.99892918342592,3,1.0
RSI,"(10, 30, 75)",0.11329604999246254,30.56365700871502,3,1.0
RSI,"(14, 35, 70)",0.11329604999246254,30.56365700871502,3,1.0
RSI,"(14, 30, 75)",0.2129636720531773,29.193369172995478,2,1.0
RSI,"(21, 35, 70)",0.2129636720531773,29.193369172995478,2,1.0
MA,"(15, 70)",0.33897654375732555,26.196616193653146,3,1.0
MA,"(30, 80)",0.21812418454984683,23.533337420920176,2,1.0
MA,"(30, 70)",0.25807055371639753,23.499781455690957,3,1.0
