strategy,params,total_return,sharpe,trades,win_rate
MA,"(5, 30)",0.6604459469716784,1.5121619290959556,10,0.5
MA,"(5, 35)",0.5766957148828887,1.4683757928327819,10,0.5
RSI,"(12, 35, 80)",1.8268553933843132,1.3728990477234728,4,1.0
MA,"(5, 45)",0.2572229850516276,1.352598377041994,11,0.45454545454545453
MA,"(10, 40)",0.48247384260655757,1.3198655309445857,8,0.625
MA,"(5, 40)",0.28038119196266137,1.2800487218890266,12,0.4166666666666667
MA,"(10, 35)",0.7173388797290859,1.2673251173809386,8,0.5
MA,"(15, 75)",0.6624569919392435,1.224685706464274,4,0.75
MA,"(10, 30)",0.7975031050716012,1.1580032270568077,8,0.625
MA,"(5, 60)",0.6125578414195374,1.1443852441228937,8,0.625
MA,"(10, 75)",0.5717449682374797,1.1364377636299765,5,0.6
MA,"(5, 75)",0.5605703770957244,1.1005788470807683,8,0.5
MA,"(20, 75)",0.574298691219371,1.0688151366110141,3,1.0
MA,"(5, 50)",0.4130505145833982,1.0478842579748722,11,0.45454545454545453
MA,"(30, 50)",0.44625854752913613,1.0378051442021936,6,0.6666666666666666
MA,"(25, 75)",0.5914598805224738,1.0359858273186213,3,0.6666666666666666
RSI,"(12, 35, 75)",1.4290650814063934,1.0354913366341443,4,1.0
MA,"(15, 60)",0.4563470308984615,1.0345774066901852,5,0.8
MA,"(30, 75)",0.5872704979579878,1.0085947386962435,3,1.0
MA,"(30, 45)",0.472266104128047,1.0078732902175398,8,0.375
RSI,"(10, 35, 80)",1.2261013169251787,1.0046984226375042,4,1.0
MA,"(15, 30)",0.26464918617717065,1.0015448898875343,9,0.4444444444444444
MA,"(5, 90)",0.3735624752481526,1.000737646849316,3,0.6666666666666666
MA,"(30, 60)",0.5468783109332271,0.9947349941220455,4,0.75
MA,"(10, 60)",0.4427058926761654,0.9809529687924696,6,0.6666666666666666
RSI,"(10, 30, 80)",1.0816794763854274,0.9645099938895811,3,1.0
MA,"(25, 60)",0.5067050206376693,0.9290000161181844,4,0.75
MA,"(20, 60)",0.4648140990022063,0.9276203443036276,5,0.8
MA,"(10, 50)",0.40539324625027684,0.9217910424830763,7,0.5714285714285714
MA,"(30, 40)",0.4729468421663032,0.9171452330722517,8,0.625
MA,"(20, 30)",0.336077016777276,0.9162654764584679,9,0.5555555555555556
MA,"(10, 45)",0.3349829477257928,0.8983397491968266,8,0.5
MA,"(15, 35)",0.26943180134586453,0.878936207175794,8,0.5
MA,"(15, 40)",0.24732671567834782,0.8316554493223103,7,0.5714285714285714
MA,"(10, 90)",0.36029089874064985,0.8047292457968886,3,0.6666666666666666
MA,"(20, 45)",0.23859654089242963,0.7989486416682648,7,0.5714285714285714
RSI,"(10, 30, 75)",0.8502680571129715,0.7950733947833629,3,1.0
RSI,"(10, 35, 75)",0.9630169033412123,0.7696599959727606,4,1.0
MA,"(20, 35)",0.32013536382433233,0.7573755671225088,8,0.5
MA,"(15, 50)",0.3787424280314884,0.748352056658324,7,0.5714285714285714
MA,"(20, 40)",0.32927039929103485,0.7232437101524521,7,0.7142857142857143
RSI,"(12, 35, 70)",0.9679046508791257,0.7214734784282402,4,1.0
MA,"(25, 50)",0.33461152309373227,0.7183654378928441,6,0.5
MA,"(20, 50)",0.2510669287633091,0.6787163416810141,8,0.5
MA,"(25, 45)",0.30900352178841656,0.67094104877695,6,0.5
MA,"(30, 35)",0.16805191863350483,0.6630417398231486,10,0.7
MA,"(15, 45)",0.34243586191784414,0.6096330297956101,7,0.5714285714285714
MA,"(25, 35)",0.14176091729776133,0.4741423360229257,8,0.5
MA,"(25, 30)",0.2587473011919326,0.3734216571104755,10,0.4
RSI,"(10, 30, 70)",0.540297964653866,0.32789844775622873,3,1.0
RSI,"(10, 35, 70)",0.5797134635349075,0.30626239391298127,4,1.0
MA,"(25, 40)",0.23222433408883503,0.2599240369527209,9,0.5555555555555556
RSI,"(7, 30, 80)",0.6592841774676239,0.11132075096369752,4,1.0
RSI,"(7, 35, 80)",0.5812777814353033,0.04577723438187289,4,1.0
RSI,"(7, 25, 80)",0.582120432442323,0.014613036127995525,3,1.0
RSI,"(7, 30, 75)",0.5375262141342676,-0.015637717008373967,5,1.0
RSI,"(5, 25, 80)",0.5880566748203407,-0.08309659771478345,6,1.0
RSI,"(5, 20, 80)",0.5075422449139083,-0.09770846170410291,4,1.0
RSI,"(7, 35, 75)",0.46171320466360133,-0.11217278036466917,5,1.0
RSI,"(7, 30, 70)",0.6937701322452564,-0.11462515146484827,7,1.0
RSI,"(7, 25, 75)",0.4447223149361278,-0.1751232455559781,3,1.0
RSI,"(7, 35, 70)",0.5536286992778621,-0.25018045297110375,7,1.0
RSI,"(5, 30, 80)",0.3197789502032436,-0.27366553891942824,6,0.8333333333333334
RSI,"(5, 35, 80)",0.3019697068435208,-0.31457074837762744,7,0.8571428571428571
RSI,"(7, 25, 70)",0.32065523924554434,-0.3281167919155053,3,1.0
RSI,"(5, 20, 75)",0.3832871759223353,-0.39193884579391786,4,1.0
RSI,"(5, 25, 75)",0.5357253448702115,-0.4118020045098108,7,1.0
RSI,"(5, 20, 70)",0.5493505632474093,-0.415087514406952,6,1.0
RSI,"(5, 25, 70)",0.742396643349749,-0.46136883268774376,10,1.0
RSI,"(5, 30, 75)",0.29889127769901125,-0.5845226396570709,8,0.75
RSI,"(5, 30, 70)",0.42223308489474964,-0.7211693866799369,11,0.8181818181818182
RSI,"(5, 35, 75)",0.20072523372685055,-0.8129073974003638,9,0.6666666666666666
RSI,"(5, 35, 70)",0.36024100801979597,-0.9730200047377245,13,0.7692307692307693
